"name";"nace2_descr";"dgr";"RCA";"n_neighbors";"weighted_degree";"triangles";"centrality_authority";"centrality_betweenness";"centrality_closeness";"centrality_eigen";"centrality_hub";"centrality_subgraph";"centrality_degree";"centrality_closeness_harmonic";"centrality_closeness_residual";"centrality_betweenness_network";"Country";"Period"
"23.42";"Manufacture of Ceramic Sanitary Fixtures";0,0790897883362668;1;4;0,285714285714286;4;0,169761354796971;0,640811965811966;0,00769230769230769;0,169761354796971;0,169761354796971;1355,45113759154;4;1469,03916267516;41,1217005797323;102;"US";"1st"
"24.46";"Processing of Nuclear Fuel";0,027292132668766;1;0;NA;0;2,615914385292e-17;0;0,000553709856035437;0;2,615914385292e-17;1;0;0;1;0;"US";"1st"
"25.1";"Manufacture of Structural Metal Products";0,18346047345391;1;5;0,352112676056338;3;0,201042660048531;7,07831555699203;0,00806451612903226;0,201042660048531;0,201042660048531;1898,05204965472;5;1703,7436118036;41,1724877260808;178;"US";"1st"
"25.2";"Manufacture of Tanks, Reservoirs and Containers of Metal";0,148970813877152;1;5;0,290697674418605;8;0,257195677030672;0,694444444444444;0,00806451612903226;0,257195677030672;0,257195677030672;3104,54149112985;5;1536,15581201117;41,1396184578395;106;"US";"1st"
"25.4";"Manufacture of Weapons and Ammunition";0,119290803623353;1;6;0,455696202531646;8;0,260483648293633;2,83333333333333;0,00757575757575758;0,260483648293633;0,260483648293633;3190,4338806062;6;1522,4870148769;41,1334420975476;164;"US";"1st"
"25.7";"Manufacture of Cutlery, Tools and General Hardware";0,201550956995183;1;7;0,742424242424242;7;0,207176445247594;14,9289682539683;0,00763358778625954;0,207176445247593;0,207176445247594;2028,31193398474;7;1641,2475557803;41,1924371365125;306;"US";"1st"
"25.9";"Manufacture of Other Fabricated Metal Products";0,147820998233786;1;8;0,56140350877193;19;0,352394259679135;4,19566724125548;0,00813008130081301;0,352394259679135;0,352394259679135;5845,06319020433;8;1682,59097732527;41,2055822335339;164;"US";"1st"
"25.94";"Manufacture of Fasteners and Screw Machine Products";0,0705928141411153;1;2;0,222222222222222;1;0,0451053922374144;0;0,00645161290322581;0,0451053922374143;0,0451053922374144;99,8950911045095;2;1242,46054820154;40,955689834243;72;"US";"1st"
"26.11";"Manufacture of Electronic Components";0,276406801821864;1;5;0,233644859813084;9;0,319168951582128;0,232905982905983;0,00806451612903226;0,319168951582128;0,319168951582128;4777,88454139269;5;1464,42616453847;41,1294909836065;36;"US";"1st"
"26.5";"Manufacture of Instruments and Appliances for Measuring, Testing and Navigation; Watches and Clocks";0,752000047969591;1;18;1,31707317073171;74;0,81009720650669;30,7435882744706;0,00925925925925926;0,81009720650669;0,81009720650669;30749,1723067243;18;1818,45114176138;41,2704159903581;414;"US";"1st"
"26.51";"Manufacture of Instruments and Appliances for Measuring, Testing and Navigation";0,442851645969004;1;7;0,40495867768595;17;0,379256992039431;1,18888888888889;0,00826446280991736;0,379256992039431;0,379256992039431;6746,80488726472;7;1444,94271769988;41,1344533229692;100;"US";"1st"
"26.6";"Manufacture of irradiation, electromedical and electrotherapeutic equipment";0,242779646140055;1;7;0,357664233576642;19;0,416650335920498;0,432905982905983;0,00826446280991736;0,416650335920497;0,416650335920498;8142,49262747045;7;1670,77670874265;41,2145833288185;64;"US";"1st"
"27.33";"Manufacture of Wiring Devices";0,30706157817626;1;7;0,5;12;0,31528441145765;4,90910919146213;0,00793650793650794;0,31528441145765;0,31528441145765;4671,58846770249;7;1547,55873091024;41,171030772916;174;"US";"1st"
"27.4";"Manufacture of Electric Lighting Equipment";0,228426654477373;1;4;0,355555555555556;1;0,144337211889903;2,26349206349206;0,00735294117647059;0,144337211889902;0,144337211889903;981,089581267491;4;1379,62175455163;41,0624808764887;110;"US";"1st"
"28.1";"Manufacture of General-Purpose Machinery";0,54739305157159;1;19;1,54273504273504;69;0,755276507362788;58,1317445626269;0,00943396226415094;0,755276507362787;0,755276507362788;26754,1350597248;19;1944,00771628578;41,311633246567;520;"US";"1st"
"28.11";"Manufacture of Engines and Turbines, Except Aircraft, Vehicle and Cycle Engines";0,289816000722205;1;8;0,481203007518797;21;0,417526157122268;1,75;0,00826446280991736;0,417526157122268;0,417526157122268;8178,21998331056;8;1703,92002152012;41,1917291941191;166;"US";"1st"
"28.14";"Manufacture of Other Taps and Valves";0,131467964754065;1;6;0,537313432835821;7;0,208223350549535;4,63922466422467;0,0078125;0,208223350549535;0,208223350549535;2039,35128586582;6;1280,01127630309;40,9730309624234;194;"US";"1st"
"28.3";"Manufacture of Agricultural and Forestry Machinery";0,330922780341029;1;13;0,949438202247191;34;0,561047163089446;59,1406655436067;0,00884955752212389;0,561047163089446;0,561047163089446;14754,5588098938;13;1729,43496772891;41,2349083044841;360;"US";"1st"
"28.9";"Manufacture of Other Special-Purpose Machinery";0,758607848539359;1;26;2,42293906810036;98;0,960060096271431;121,617206159853;0,01;0,96006009627143;0,960060096271431;43188,4501075705;26;2011,46298053919;41,2935856407602;904;"US";"1st"
"28.95";"Manufacture of Machinery for Paper and Paperboard Production";0,0803540365200593;1;2;0,121212121212121;1;0,0970273936794641;0;0,0072463768115942;0,097027393679464;0,0970273936794641;443,686435036088;2;785,625340752794;40,4806086763671;48;"US";"1st"
"28.99";"Manufacture of Other Special-Purpose Machinery N.E.C.";0,261355678939245;1;11;0,703488372093023;35;0,532849333620744;11,4624389499389;0,00869565217391304;0,532849333620744;0,532849333620744;13322,7156776065;11;1870,4224252193;41,2890931896636;232;"US";"1st"
"30";"Manufacture of Other Transport Equipment";0,311456911826525;1;15;1,125;51;0,641247663175216;28,53308586838;0,00909090909090909;0,641247663175215;0,641247663175216;19293,876920282;15;1915,56895888061;41,2981742432541;360;"US";"1st"
"31";"Manufacture of Furniture";0,18241850431077;1;11;0,991803278688524;21;0,377503334070466;42,4036775316187;0,00847457627118644;0,377503334070466;0,377503334070466;6703,69420429381;11;1700,51442127047;41,2015346361042;416;"US";"1st"
"32";"Other Manufacturing";0,345197484885316;1;16;1,1906976744186;58;0,685459825472789;28,1261859872154;0,00909090909090909;0,685459825472789;0,685459825472789;22039,5766985231;16;1609,43005060738;41,175374756032;394;"US";"1st"
"32.5";"Manufacture of medical and dental instruments and supplies";0,553049368615306;1;23;2,01140684410646;85;0,873115233280786;106,097733883763;0,00980392156862745;0,873115233280785;0,873115233280786;35729,8324734856;23;1858,36658760888;41,2728570112305;728;"US";"1st"
"32.9";"Manufacturing N.E.C.";0,520463338279195;1;14;1;44;0,617139824314059;29,9170445567504;0,00892857142857143;0,617139824314058;0,617139824314059;17851,1238241219;14;1855,81805791103;41,2324049892033;360;"US";"1st"
"42.2";"Construction of Utility Projects";0,127593772016847;1;8;0,520325203252033;14;0,363920732483784;8,88090659340659;0,00854700854700855;0,363920732483784;0,363920732483784;6214,44235841456;8;1479,14708019332;41,1328681243426;196;"US";"1st"
"10";"Manufacture of Food Products";0,392058396969931;1;0;NA;0;0;0;0,00114942528735632;0;0;1;0;0;1;0;"JP";"1st"
"16";"Manufacture of Wood and of Products of Wood and Cork, Except Furniture; Manufacture of Articles of Straw and Plaiting Materials";0,102189732956631;1;2;0,181818181818182;1;0,110176140737861;0;0,0101010101010101;0,110176140737861;0,110176140737861;45,6240898105458;2;476,92017369805;27,8407452775652;28;"JP";"1st"
"18.1";"Printing and Service Activities Related to Printing";0,265883397753997;1;7;0,590361445783133;16;0,437263355941507;1,96388888888889;0,0121951219512195;0,437263355941507;0,437263355941507;659,073076084896;7;1092,05877081909;28,3862134105502;104;"JP";"1st"
