"nace2_code";"nace2_descr";"RCA_US";"RCA_CN";"RCA_KR";"RCA_JP";"RCA_AI";"US_Com";"CN_Com";"KR_Com";"JP_Com"
"28.25";"Manufacture of Non-Domestic Cooling and Ventilation Equipment";0,3484719780216;1,07859719418495;1,33978285415016;1,22665432745157;0,325652568131381;0;57;58;72
"28.29";"Manufacture of Other General-Purpose Machinery N.E.C.";0,633307602098447;1,21069241928626;0,94426981734814;0,783204343004892;0,110511747250077;0;59;0;0
"28.3";"Manufacture of Agricultural and Forestry Machinery";0,627471025960344;1,39543438374282;0,752649700400969;0,571981022896804;0,126473250659049;0;61;0;0
"28.4";"Manufacture of Metal Forming Machinery and Machine Tools";0,567761082785348;1,38285939117697;0,704682590727113;0,681918155407865;0,228338911984433;0;60;0;0
"28.9";"Manufacture of Other Special-Purpose Machinery";0,734185586679924;1,2073297135958;0,798393549512392;0,819047777972829;0,118712318923427;0;60;0;0
"28.92";"Manufacture of Machinery for Mining, Quarrying and Construction";0,287710233790791;1,13558010580259;2,16888312484369;0,592996426505568;0,0406370252182251;0;62;64;0
"28.94";"Manufacture of Machinery for Textile, Apparel and Leather Production";0,288661653876518;1,55141633670131;0,754684277344566;0,566997143751726;0,0627972363547951;0;58;0;0
"28.95";"Manufacture of Machinery for Paper and Paperboard Production";0,562629516206518;0,839131534700028;0,315871570682957;0,502921887833426;0,0968595104268966;0;0;0;0
"28.99";"Manufacture of Other Special-Purpose Machinery N.E.C.";0,577852004291455;1,45031360941118;0,685483301092808;0,455581110847487;0,0426448851118736;0;56;0;0
"29.1";"Manufacture of Motor Vehicles";0,777546293809996;0,508691700244511;1,10144974590231;1,49732620028124;0,171734835300425;0;0;0;60
"29.3";"Manufacture of Parts and Accessories for Motor Vehicles";0,83896089858607;0,33999273031087;1,71405912920352;1,40484999993547;1,63841846258614;62;0;58;59
"30";"Manufacture of Other Transport Equipment";0,986141413383673;0,909390724421408;1,25660858351454;0,582078011137003;0,151603195872764;0;0;61;0
"31";"Manufacture of Furniture";1,34293550283517;0,927760928507328;1,16023359925063;0,776544093300402;0,00948737135254243;56;0;66;57
"32";"Other Manufacturing";1,250553355298;0,569343468965284;0,806254675260749;1,85800716301412;0,104731782582555;58;0;0;62
"32.5";"Manufacture of medical and dental instruments and supplies";2,02480717601735;0,741688369379081;0,78593941196436;0,833268961478497;0,725040916489789;61;0;0;0
"32.9";"Manufacturing N.E.C.";1,14318879505229;0,72311465028091;1,11565274640279;1,33892676430914;0,265366344036312;55;0;61;63
"42.2";"Construction of Utility Projects";0,560510916139412;0,896806179764923;1,46046577380591;1,04602898122295;0;0;0;70;65
"42.91";"Construction of Water Projects";0,370476900923613;1,00732444498001;2,13815657948456;0,69891971336094;0,055131404577995;0;61;58;0
"43";"Specialised Construction Activities";0,614190250283621;0,951973884134975;1,32171264450551;0,960116108012425;0,00609647364813451;0;66;64;0
"62";"Computer Programming, Consultancy and Related Activities";2,13942123962693;0,732425490219019;1,91367350402083;0,762000712931176;3,55250731562184;65;0;59;0
