"";"nace2_code";"nace2_descr";"RCA_US";"RCA_CN";"RCA_KR";"RCA_JP";"RCA_AI";"US_Com";"CN_Com";"KR_Com";"JP_Com";"Period";"RCA_field";"Category";"Category2"
"46";"26.51";"Manufacture of Instruments and Appliances for Measuring, Testing and Navigation";1,00573329765822;1,18173030035212;0,580748100808902;1,06101106942466;4,89006909872744;35;39;0;42;"Period 1 (1974-1988)";88,1065313708049;"AI-core codes";1
"47";"26.52";"Manufacture of Watches and Clocks";0,477532147480026;0,726239789297852;0,802489635017083;1,25058022496068;0;0;0;0;41;"Period 1 (1974-1988)";84,2247650917811;"Other";4
"48";"26.6";"Manufacture of irradiation, electromedical and electrotherapeutic equipment";1,51131940598256;2,01239461237948;0,257569259234188;0,83342388314665;0;41;40;0;0;"Period 1 (1974-1988)";98,0221011885635;"Other";4
"49";"26.7";"Manufacture of Optical Instruments and Photographic Equipment";0,777239572318582;0,585836775938963;0,296156236154112;1,20456692511823;0,126125179137378;0;0;0;42;"Period 1 (1974-1988)";76,7990779749655;"Surrounding codes";3
"50";"26.8";"Manufacture of Magnetic and Optical Media";0,664135190383819;0,716256167525439;0,373115822951027;1,30882364033251;0;0;0;0;41;"Period 1 (1974-1988)";73,8183331027778;"Other";4
"51";"27.1";"Manufacture of Electric Motors, Generators, Transformers and Electricity Distribution and Control Apparatus";0,520683129877382;1,26510161281777;0,896063161118578;1,22798974702487;0,19302473588868;0;46;0;42;"Period 1 (1974-1988)";86,7941624844625;"Other";4
"52";"27.12";"Manufacture of Electricity Distribution and Control Apparatus";0,628807179326219;0,848238632635111;0,417766868407953;1,15240819959218;0,595295384191339;0;0;0;41;"Period 1 (1974-1988)";83,3172359514513;"AI-related codes";2
"53";"27.2";"Manufacture of Batteries and Accumulators";0,809163979036917;0,546461782568722;0,335464587520773;1,25585782514529;0;0;0;0;44;"Period 1 (1974-1988)";85,5147227925304;"Other";4
"54";"27.3";"Manufacture of Wiring and Wiring Devices";0,587247195391755;0,767175069631963;0,777610405612736;1,21405155114285;0;0;0;0;44;"Period 1 (1974-1988)";77,173648701325;"Other";4
"55";"27.33";"Manufacture of Wiring Devices";1,31079431045957;0,484471159721192;0,432314709461041;0,844374034113233;0;42;0;0;0;"Period 1 (1974-1988)";90,2144360203717;"Surrounding codes";3
"56";"27.4";"Manufacture of Electric Lighting Equipment";1,44581072331294;0,634830667595484;0,346887309894178;0,776537533581393;0;40;0;0;0;"Period 1 (1974-1988)";99,5782882367908;"Surrounding codes";3
"57";"27.5";"Manufacture of Domestic Appliances";0,981347880452893;0,894531549818976;0,991115082627125;0,947669150900842;0,197426915543138;37;0;0;0;"Period 1 (1974-1988)";94,770705343471;"Surrounding codes";3
"58";"27.9";"Manufacture of Other Electrical Equipment";0,78154789695653;1,0406983841801;0,766642715707805;1,08953735248723;0,202889792207852;0;0;0;34;"Period 1 (1974-1988)";80,0311539161116;"AI-related codes";2
"59";"28.1";"Manufacture of General-Purpose Machinery";1,06728364228238;1,33330578359246;0,453826892887163;0,878534088018924;0,243687900793439;42;41;0;0;"Period 1 (1974-1988)";90,4437609180866;"Other";4
"60";"28.11";"Manufacture of Engines and Turbines, Except Aircraft, Vehicle and Cycle Engines";1,28644825776669;0,753332796416016;0,52799668682726;0,89246471236562;0;36;0;0;0;"Period 1 (1974-1988)";97,0532105582388;"Other";4
"61";"28.14";"Manufacture of Other Taps and Valves";1,48230910947907;0,980354764769412;0,825359860696715;0,580996209304024;0;41;0;0;0;"Period 1 (1974-1988)";100;"Other";4
"62";"28.21";"Manufacture of Ovens, Furnaces and Furnace Burners";0,741815930332499;1,88027915253251;1,00916597687318;0,940282661533344;0;0;41;0;0;"Period 1 (1974-1988)";97,0314297710169;"Other";4
"63";"28.22";"Manufacture of Lifting and Handling Equipment";0,731713572760689;0,581556465713732;0,831416441715252;0,966726979916927;0,385042561313675;0;0;0;0;"Period 1 (1974-1988)";97,3794586949259;"Other";4
"64";"28.23";"Manufacture of Office Machinery and Equipment (Except Computers and Peripheral Equipment)";0,446575455064183;0,152653316753632;1,07515812071815;1,400088398042;0,647140966909267;0;0;0;41;"Period 1 (1974-1988)";0;"AI-related codes";2
"65";"28.25";"Manufacture of Non-Domestic Cooling and Ventilation Equipment";0,614089549440943;0,45846560879346;0,401457500510273;1,09608137672456;0,303555926154924;0;0;0;37;"Period 1 (1974-1988)";92,3758363081786;"AI-related codes";2
"66";"28.29";"Manufacture of Other General-Purpose Machinery N.E.C.";0,98558987921282;0,890209265535319;0,527798462352577;0,909917714785676;0,0614941507296649;0;0;0;0;"Period 1 (1974-1988)";94,6523128920065;"Other";4
"67";"28.3";"Manufacture of Agricultural and Forestry Machinery";1,28563876209892;1,10947588878101;0,680871746493254;0,734626616169211;0;39;40;0;0;"Period 1 (1974-1988)";93,3603311895145;"Other";4
"68";"28.4";"Manufacture of Metal Forming Machinery and Machine Tools";0,937039601194512;0,943891691799069;0,705099356042098;0,940082446939262;0,241333511717484;0;41;0;0;"Period 1 (1974-1988)";93,9295174535881;"Other";4
"69";"28.9";"Manufacture of Other Special-Purpose Machinery";1,03098113143591;1,09367084676623;0,614122183648797;0,904582546040567;0,120815543473857;41;43;0;0;"Period 1 (1974-1988)";92,1348284611142;"Other";4
"70";"28.92";"Manufacture of Machinery for Mining, Quarrying and Construction";0,935348926613441;1,2614827081984;0,531020621170154;0,495425743059995;0;0;44;0;0;"Period 1 (1974-1988)";97,2981776469378;"Other";4
"71";"28.94";"Manufacture of Machinery for Textile, Apparel and Leather Production";0,690104870765937;0,84988899999966;3,31221635624913;0,938978574818717;0;0;35;40;0;"Period 1 (1974-1988)";89,7075852773056;"Other";4
"72";"28.95";"Manufacture of Machinery for Paper and Paperboard Production";1,27136718825683;1,83943111202951;1,83388680308993;0,403623591243967;0;47;41;40;0;"Period 1 (1974-1988)";98,1409664912108;"Other";4
"73";"28.99";"Manufacture of Other Special-Purpose Machinery N.E.C.";1,29782557455234;2,03564502076588;0,69623443869807;0,630940225301576;0;39;41;0;0;"Period 1 (1974-1988)";96,6340202045146;"Other";4
"74";"29.1";"Manufacture of Motor Vehicles";0,910827225363391;0,671701919277798;0,544476772236895;0,91784178868041;0,269695052068153;0;0;0;0;"Period 1 (1974-1988)";91,0030847960647;"Other";4
"75";"29.3";"Manufacture of Parts and Accessories for Motor Vehicles";0,30302538758163;0;0,664070787918899;1,42463959386168;0;0;0;0;42;"Period 1 (1974-1988)";61,6720652316092;"AI-related codes";2
"76";"30";"Manufacture of Other Transport Equipment";1,44499747041419;1,72352007884433;0,59021949922685;0,683119170160952;0;41;36;0;0;"Period 1 (1974-1988)";92,2096745880417;"Other";4
"77";"31";"Manufacture of Furniture";1,90852147521644;0,853291081727056;0,2816395941223;0,377902708790802;0;40;0;0;0;"Period 1 (1974-1988)";98,0609167043271;"Other";4
