"";"Herfindahl";"Herfindahl_RCA";"Entropy";"Entropy_RCA";"Period"
"CN";0,0512746330896162;0,0344827586206897;5,096;4,858;"2nd"
"CO";0,0611956607042602;0,037037037037037;4,764;4,755;"2nd"
"CR";0,0609548672916419;0,0434782608695652;4,527;4,524;"2nd"
"CS";0,0601745837709406;0,0384615384615385;4,679;4,7;"2nd"
"CU";0,395936592434127;0,166666666666667;2,162;2,585;"2nd"
"CV";0,5;0,5;1;1;"2nd"
"CY";0,0442394215787539;0,0333333333333333;4,947;4,907;"2nd"
"CZ";0,0426079285125943;0,024390243902439;5,255;5,358;"2nd"
"DD";0,0608118222990833;0,0416666666666667;4,48;4,585;"2nd"
"DE";0,0397753909164343;0,0217391304347826;5,299;5,524;"2nd"
"DJ";0,5;0,5;1;1;"2nd"
"DK";0,0573403907247889;0,0344827586206897;4,987;4,858;"2nd"
"DM";0,555555555555556;0,5;0,918;1;"2nd"
"DO";0,0895460224906289;0,05;4,098;4,322;"2nd"
"DZ";0,064993368023671;0,0454545454545455;4,442;4,459;"2nd"
"EC";0,176513671875;0,0526315789473684;3,654;4,248;"2nd"
"EE";0,0706481265660509;0,03125;4,751;5;"2nd"
"EG";0,0642101697466973;0,0454545454545455;4,612;4,459;"2nd"
"EP";0,28;0,25;1,922;2;"2nd"
"ES";0,0413928233467152;0,0212765957446809;5,271;5,555;"2nd"
"ET";0,542143600416233;0,5;0,938;1;"2nd"
"FI";0,0569460268303462;0,0303030303030303;5,044;5,044;"2nd"
"FJ";0,24;0,2;2,171;2,322;"2nd"
"FO";0,2;0,166666666666667;2,446;2,585;"2nd"
"FR";0,035192789417599;0,0256410256410256;5,381;5,285;"2nd"
"GA";0,105;0,0909090909090909;3,484;3,459;"2nd"
"GB";0,0410431600761303;0,0263157894736842;5,213;5,248;"2nd"
"GC";1;1;0;0;"2nd"
"GD";0,222222222222222;0,125;2,617;3;"2nd"
"GE";0,0798429893425727;0,04;4,486;4,644;"2nd"
"GF";1;1;0;0;"2nd"
"GH";0,3046875;0,166666666666667;2,046;2,585;"2nd"
