"name";"sector";"field_name";"dgr";"RCA";"n_neighbors";"weighted_degree";"triangles";"centrality_authority";"centrality_betweenness";"centrality_closeness";"centrality_eigen";"centrality_hub";"centrality_subgraph";"centrality_degree";"centrality_closeness_harmonic";"centrality_closeness_residual";"centrality_betweenness_network";"Country";"Period"
"33";"Other fields";"Furniture, games";0,426650313894679;1;5;0,78125;6;0,56544113123144;1,75396825396825;0,03125;0,56544113123144;0,56544113123144;33,7882878179196;5;202,398352581702;15,9625259592061;68;"US";"1st"
"34";"Other fields";"Other consumer goods";0,499188367155627;1;3;0,428571428571429;3;0,356276740660527;0;0,0285714285714286;0,356276740660527;0,356276740660527;14,8539995613265;3;184,234085072746;15,9035479710335;38;"US";"1st"
"35";"Other fields";"Civil engineering";0,60675944110578;1;7;1;12;0,835941309347879;6,29874847374847;0,04;0,835941309347878;0,835941309347879;67,3364615098828;7;231,376696304579;16,127321426729;78;"US";"1st"
"1";"Electrical engineering";"Electrical machinery, apparatus, energy";0,954564005525016;1;13;1,74226804123711;35;1;27,0460622710623;0,0526315789473684;1;1;613,385388590032;13;303,261784692325;16,3504034352588;204;"JP";"1st"
"10";"Instruments";"Measurement";0,911855932738176;1;11;1,32967032967033;31;0,955682762935356;11,9672161172161;0,0476190476190476;0,955682762935357;0,955682762935356;558,228766693089;11;291,818777348824;16,3074439134038;126;"JP";"1st"
"12";"Instruments";"Control";0,708290218704312;1;7;0,73134328358209;17;0,685875289900308;2,50549450549451;0,04;0,685875289900308;0,685875289900308;290,129936856761;7;215,62834655466;16,1178995290909;64;"JP";"1st"
"2";"Electrical engineering";"Audio-visual technology";0,900540792337974;1;11;1,28723404255319;35;0,991683120851651;7,13791208791209;0,0476190476190476;0,99168312085165;0,991683120851651;600,983977172462;11;235,780847258547;16,1451606231101;114;"JP";"1st"
"20";"Chemistry";"Materials, metallurgy";0,822063644870517;1;6;0,923076923076923;8;0,369436754059964;3,33809523809524;0,0357142857142857;0,369436754059964;0,369436754059964;91,4446361936777;6;200,2805038394;15,9799155620733;114;"JP";"1st"
"21";"Chemistry";"Surface technology, coating";0,790197913922247;1;6;0,692307692307692;10;0,516022194385833;2,94120879120879;0,037037037037037;0,516022194385833;0,516022194385833;166,758324497745;6;198,28218667567;16,0284933979603;70;"JP";"1st"
"22";"Chemistry";"Micro-structural and nano-technology";0,345557333422115;1;4;0,41025641025641;5;0,364125756132496;0,326923076923077;0,0333333333333333;0,364125756132496;0,364125756132496;84,8802790626505;4;236,504814261092;16,1879461259667;38;"JP";"1st"
"27";"Mechanical engineering";"Engines, pumps, turbines";0,544629309279954;1;4;0,484848484848485;4;0,295264247229649;0,96978021978022;0,0333333333333333;0,295264247229649;0,295264247229649;57,8162432053005;4;220,556518710637;16,1210763463704;58;"JP";"1st"
