"ctry_code";"Subclass";"RCA_Gen";"RCA_AI";"Period"
"AD";"A63H";0;NA;"1989-1993"
"AD";"A63J";0;NA;"1989-1993"
"AD";"A63K";0;NA;"1989-1993"
"AD";"B01B";0;NA;"1989-1993"
"AD";"B01D";0;NA;"1989-1993"
"AD";"B01F";0;NA;"1989-1993"
"AD";"B01J";0;NA;"1989-1993"
"AD";"B01L";0;NA;"1989-1993"
"AD";"B02B";0;NA;"1989-1993"
"AD";"B02C";0;NA;"1989-1993"
"AD";"B03B";0;NA;"1989-1993"
"AD";"B03C";0;NA;"1989-1993"
"AD";"B03D";0;NA;"1989-1993"
"AD";"B04B";0;NA;"1989-1993"
"AD";"B04C";0;NA;"1989-1993"
"AD";"B05B";0;NA;"1989-1993"
"AD";"B05C";0;NA;"1989-1993"
"AD";"B05D";0;NA;"1989-1993"
"AD";"B06B";0;NA;"1989-1993"
"AD";"B07B";0;NA;"1989-1993"
"AD";"B07C";0;NA;"1989-1993"
"AD";"B08B";0;NA;"1989-1993"
"AD";"B09B";0;NA;"1989-1993"
"AD";"B09C";0;NA;"1989-1993"
"AD";"B21B";0;NA;"1989-1993"
"AD";"B21C";0;NA;"1989-1993"
"AD";"B21D";0;NA;"1989-1993"
"AD";"B21F";0;NA;"1989-1993"
"AD";"B21G";0;NA;"1989-1993"
"AD";"B21H";0;NA;"1989-1993"
"AD";"B21J";0;NA;"1989-1993"
"AD";"B21K";0;NA;"1989-1993"
"AD";"B21L";0;NA;"1989-1993"
"AD";"B22C";0;NA;"1989-1993"
"AD";"B22D";0;NA;"1989-1993"
"AD";"B22F";0;NA;"1989-1993"
"AD";"B23B";0;NA;"1989-1993"
"AD";"B23C";0;NA;"1989-1993"
"AD";"B23D";0;NA;"1989-1993"
"AD";"B23F";0;NA;"1989-1993"
"AD";"B23G";0;NA;"1989-1993"
"AD";"B23H";0;NA;"1989-1993"
"AD";"B23K";0;NA;"1989-1993"
"AD";"B23P";0;NA;"1989-1993"
"AD";"B23Q";0;NA;"1989-1993"
"AD";"B24B";0;NA;"1989-1993"
"AD";"B24C";0;NA;"1989-1993"
"AD";"B24D";0;NA;"1989-1993"
"AD";"B25B";0;NA;"1989-1993"
"AD";"B25C";0;NA;"1989-1993"
"AD";"B25D";0;NA;"1989-1993"
"AD";"B25F";0;NA;"1989-1993"
"AD";"B25G";0;NA;"1989-1993"
"AD";"B25H";0;NA;"1989-1993"
"AD";"B25J";0;NA;"1989-1993"
"AD";"B26B";0;NA;"1989-1993"
"AD";"B26D";0;NA;"1989-1993"
"AD";"B26F";0;NA;"1989-1993"
"AD";"B27B";0;NA;"1989-1993"
"AD";"B27C";0;NA;"1989-1993"
"AD";"B27D";0;NA;"1989-1993"
"AD";"B27F";0;NA;"1989-1993"
"AD";"B27G";0;NA;"1989-1993"
"AD";"B27H";0;NA;"1989-1993"
"AD";"B27J";0;NA;"1989-1993"
"AD";"B27K";0;NA;"1989-1993"
"AD";"B27L";0;NA;"1989-1993"
"AD";"B27M";0;NA;"1989-1993"
"AD";"B27N";0;NA;"1989-1993"
"AD";"B28B";0;NA;"1989-1993"
"AD";"B28C";0;NA;"1989-1993"
"AD";"B28D";0;NA;"1989-1993"
"AD";"B29B";0;NA;"1989-1993"
"AD";"B29C";0;NA;"1989-1993"
"AD";"B29D";0;NA;"1989-1993"
"AD";"B29K";0;NA;"1989-1993"
"AD";"B29L";0;NA;"1989-1993"
"AD";"B30B";0;NA;"1989-1993"
"AD";"B31B";0;NA;"1989-1993"
"AD";"B31C";0;NA;"1989-1993"
"AD";"B31D";0;NA;"1989-1993"
