"ctry_code";"nace2_code";"n_tech_reg"
"BG";26,6;35,6666666666667
"BG";26,7;88,5
"BG";26,8;24,65
"BG";27,1;235,25
"BG";27,12;33,5
"BG";27,2;82,6666666666667
"BG";27,3;36,1666666666667
"BG";27,33;137,416666666667
"BG";27,4;2,83333333333333
"BG";27,5;117,283333333333
"BG";27,9;232,2
"BG";28,1;585,916666666667
"BG";28,11;18,8333333333333
"BG";28,14;0,5
"BG";28,21;36,25
"BG";28,22;137,5
"BG";28,23;301,077838827839
"BG";28,25;48
"BG";28,29;510,166666666667
"BG";28,3;464,25641025641
"BG";28,4;1186,53333333333
"BG";28,9;931,266666666667
"BG";28,92;32,6666666666667
"BG";28,94;145,388888888889
"BG";28,95;5,5
"BG";28,99;123,816666666667
"BG";29,1;279,166666666667
"BG";30;105,533333333333
"BG";31;8
"BG";32;81,9166666666667
"BG";32,5;518,420833333333
"BG";32,9;94,1666666666667
"BG";42,2;15,5
"BG";42,91;67,6666666666667
"BG";43;180
"BH";19;0,5
"BI";23,5;0,125
"BI";27,33;1
"BJ";24;1
"BM";14;0,5
"BM";17;9,5
"BM";20,1;13,8333333333333
"BM";20,3;0,5
"BM";21;4,33333333333333
"BM";22,2;0,333333333333333
"BM";26,3;0,5
"BM";26,5;0,5
"BM";27,3;0,833333333333333
"BM";27,33;0,833333333333333
"BM";28,23;1
"BM";28,29;3,66666666666667
"BM";28,3;0,5
"BM";28,9;0,833333333333333
"BM";28,99;0,333333333333333
"BM";30;1,5
"BM";32;1,16666666666667
"BM";32,5;0,5
"BM";32,9;0,5
"BM";43;4,5
"BN";28,9;0,5
"BO";10;0,5
"BO";20,1;1
"BO";20,51;1,5
"BO";21;2
"BO";22;1
"BO";24;1
"BO";25,4;1
"BO";26,1;0,5
"BO";26,5;0,5
"BO";26,51;1
"BO";27,33;0,5
"BO";27,5;1
"BO";28,1;1,5
"BO";28,25;0,5
"BO";28,29;1
"BO";28,99;4
"BO";29,1;2,5
"BO";32;2
"BO";42,91;1
"BR";10;255,138888888889
"BR";10,5;8
"BR";11;56,4166666666667
"BR";12;89,75
"BR";13;124,616666666667
"BR";14;97,9166666666667
"BR";15;143,333333333333
"BR";16;32,5833333333333
"BR";17;182,277777777778
"BR";18,1;162,833333333333
"BR";19;194,9
"BR";20,1;1403,39841269841
"BR";20,2;75,1039682539682
"BR";20,3;64,7777777777778
"BR";20,4;55,0039682539683
"BR";20,42;1,25396825396825
"BR";20,5;135,636111111111
"BR";20,51;71,5
"BR";20,6;8,33333333333333
"BR";21;246,953968253968
"BR";22;349,269444444444
"BR";22,1;8,33333333333333
"BR";22,2;11,4166666666667
"BR";23;107,241666666667
"BR";23,1;84,2916666666667
"BR";23,3;206
"BR";23,42;123,416666666667
"BR";23,5;120,294444444444
"BR";24;597,425
"BR";24,46;1
"BR";25,1;215,958333333333
"BR";25,2;56,8333333333333
"BR";25,3;5,83333333333333
"BR";25,4;65,5
"BR";25,5;11,5333333333333
"BR";25,6;44,8333333333333
"BR";25,7;632,464285714286
"BR";25,9;248,361111111111
"BR";25,94;50,75
"BR";26,1;294,041666666667
"BR";26,2;234
"BR";26,3;1172,66666666667
"BR";26,4;83,6666666666667
"BR";26,5;716,566666666667
"BR";26,51;232,833333333333
"BR";26,52;67,3333333333333
"BR";26,6;68
"BR";26,7;215,333333333333
"BR";26,8;19,25
"BR";27,1;225,916666666667
"BR";27,12;72,8333333333333
"BR";27,2;83,625
"BR";27,3;97,9583333333333
"BR";27,33;687,75
"BR";27,4;117,416666666667
"BR";27,5;1425,475
"BR";27,9;255,683333333333
"BR";28,1;1927,83333333333
"BR";28,11;125,833333333333
"BR";28,14;184,5
"BR";28,21;106,708333333333
"BR";28,22;279,666666666667
"BR";28,23;515,75
"BR";28,25;156,916666666667
"BR";28,29;1221,38333333333
"BR";28,3;1434,48333333333
"BR";28,4;1253,875
"BR";28,9;2271,25952380952
"BR";28,92;53
"BR";28,94;307,5
"BR";28,95;26,8333333333333
"BR";28,99;236,233333333333
"BR";29,1;2202,08888888889
"BR";29,3;0,5
"BR";30;645
"BR";31;652,083333333333
"BR";32;2048,39444444444
"BR";32,5;1148,59285714286
"BR";32,9;1352,06666666667
"BR";42,2;122,166666666667
"BR";42,91;85,9166666666667
"BR";43;1348,46428571429
"BR";62;12
"BS";12;1
"BS";17;0,166666666666667
"BS";18,1;0,166666666666667
"BS";19;3,5
"BS";20,1;9,36111111111111
"BS";20,4;0,916666666666667
"BS";20,42;0,916666666666667
"BS";20,5;0,916666666666667
"BS";21;0,75
"BS";22;1
"BS";23;0,166666666666667
"BS";23,5;0,366666666666667
"BS";24;5,34444444444444
"BS";25,7;1
"BS";25,94;1
"BS";26,3;0,5
"BS";27,12;1
"BS";27,2;2,69444444444444
"BS";27,5;2,5
"BS";28,1;5
"BS";28,21;2
"BS";28,29;4,83333333333333
"BS";28,4;2
"BS";28,9;8,33333333333333
"BS";29,1;1,5
"BS";30;5,5
"BS";31;1
"BS";32;4,5
"BU";12;1
"BU";20,1;1,125
"BU";20,3;0,5
"BU";20,5;0,2
"BU";20,51;0,5
"BU";21;0,25
"BU";24;0,0909090909090909
"BU";25,4;0,5
"BU";26,1;1
"BU";26,5;1
"BU";26,51;0,142857142857143
"BU";27,3;0,5
"BU";28,22;1
"BU";28,3;0,6
"BU";28,4;0,25
"BU";28,9;0,5
"BU";28,95;1
"BY";20,1;1
"BZ";21;0,0714285714285714
"BZ";26,5;0,0714285714285714
"CA";10;831,077116402116
"CA";10,5;20,0833333333333
"CA";11;67,4
"CA";12;101,333333333333
"CA";13;192,366666666667
"CA";14;211,7
"CA";15;206,75
"CA";16;123,483333333333
"CA";17;399,81626984127
"CA";18,1;157,725
"CA";19;707,851984126984
"CA";20,1;4913,77738095238
"CA";20,2;340,418981481481
"CA";20,3;191,791666666667
"CA";20,4;177,161111111111
"CA";20,42;29,0944444444444
"CA";20,5;352,686243386243
"CA";20,51;209,95
"CA";20,6;50,0703703703704
"CA";21;3201,56937830688
"CA";22;1086,29265873016
"CA";22,1;21,7222222222222
"CA";22,2;60,6150793650794
"CA";23;369,310714285714
"CA";23,1;225,817857142857
"CA";23,3;174,775
"CA";23,42;106,283333333333
"CA";23,5;279,299007936508
"CA";24;1472,74722222222
"CA";24,46;4,33333333333333
"CA";25,1;228,569444444444
"CA";25,2;137,2
"CA";25,3;110,166666666667
"CA";25,4;167,583333333333
"CA";25,5;60,0166666666667
"CA";25,6;171,983333333333
"CA";25,7;813,4
"CA";25,9;293,425
"CA";25,94;117,583333333333
"CA";26,1;1223,89781746032
"CA";26,2;564,08869047619
"CA";26,3;2707,50714285714
"CA";26,4;244,833333333333
"CA";26,5;2480,17896825397
"CA";26,51;646,17619047619
"CA";26,52;70,8333333333333
"CA";26,6;193,177777777778
"CA";26,7;763,402777777778
"CA";26,8;71,4833333333333
"CA";27,1;371,116666666667
"CA";27,12;159,733333333333
"CA";27,2;291,775198412698
"CA";27,3;314,594444444444
"CA";27,33;1284,66904761905
"CA";27,4;211,983333333333
"CA";27,5;1873,26944444444
"CA";27,9;517,458333333333
"CA";28,1;2577,77777777778
"CA";28,11;278,344444444444
"CA";28,14;171,683333333333
"CA";28,21;207,527777777778
"CA";28,22;427,266666666667
"CA";28,23;1313,62658730159
"CA";28,25;451,094444444444
"CA";28,29;2839,22182539683
"CA";28,3;2141,86666666667
"CA";28,4;2560,23611111111
"CA";28,9;5091,22083333333
"CA";28,92;172,777777777778
"CA";28,94;387,314417989418
"CA";28,95;138,108333333333
"CA";28,99;617,749206349206
"CA";29,1;2544,75277777778
"CA";29,3;3,16666666666667
"CA";30;1226,51666666667
"CA";31;770,658333333333
"CA";32;2513,53194444444
"CA";32,5;2142,92599206349
"CA";32,9;2002,66111111111
"CA";42,2;76,3666666666667
"CA";42,91;205,666666666667
"CA";43;1622,89722222222
"CA";62;15,2142857142857
"CC";27,5;0,5
"CC";32;0,5
"CD";21;0,125
"CD";26,5;0,125
"CH";10;512,611111111111
"CH";10,5;50,9166666666667
"CH";11;69,5333333333333
"CH";12;136,215476190476
"CH";13;368,37003968254
"CH";14;79,5261904761905
"CH";15;149,866666666667
"CH";16;29
"CH";17;149,060912698413
"CH";18,1;136,701388888889
"CH";19;35,9611111111111
"CH";20,1;2870,71984126984
"CH";20,2;540,214682539682
"CH";20,3;80,3501984126984
"CH";20,4;178,039087301587
"CH";20,42;71,2793650793651
"CH";20,5;227,94126984127
"CH";20,51;80,0166666666667
"CH";20,6;29,0555555555556
"CH";21;2963,43630952381
"CH";22;587,156746031746
"CH";22,1;0,25
"CH";22,2;51,9277777777778
"CH";23;127,605952380952
"CH";23,1;93,5428571428571
"CH";23,3;82,6775793650794
"CH";23,42;57,1666666666667
"CH";23,5;137,268849206349
"CH";24;760,311507936508
"CH";24,46;0,5
"CH";25,1;142,345238095238
"CH";25,2;165,144444444444
"CH";25,3;42,0166666666667
"CH";25,4;287,95
"CH";25,5;35,0944444444444
"CH";25,6;72,45
"CH";25,7;759,766666666667
"CH";25,9;297,908333333333
"CH";25,94;33
"CH";26,1;697,17
"CH";26,11;0,5
"CH";26,2;214,863888888889
"CH";26,3;1052,08849206349
"CH";26,4;153,958333333333
"CH";26,5;1561,93388888889
"CH";26,51;327,06626984127
"CH";26,52;650,733333333333
"CH";26,6;97,6
"CH";26,7;509,811666666667
"CH";26,8;69,9361111111111
"CH";27,1;340,783333333333
"CH";27,12;163,241666666667
"CH";27,2;72,6722222222222
"CH";27,3;111,966666666667
"CH";27,33;813,669444444444
"CH";27,4;96,725
"CH";27,5;1117,76388888889
"CH";27,9;302,572222222222
"CH";28,1;1572,25515873016
"CH";28,11;119,176388888889
"CH";28,14;163
"CH";28,21;63,4952380952381
"CH";28,22;295,2
"CH";28,23;778,988492063492
"CH";28,25;297,673015873016
"CH";28,29;1817,83670634921
"CH";28,3;517,225
"CH";28,4;2253,43587301587
"CH";28,9;2898,57261904762
"CH";28,92;156,35
"CH";28,94;1255,67619047619
"CH";28,95;12,2388888888889
"CH";28,99;337,980952380952
"CH";29,1;977,587301587302
"CH";29,3;2,66666666666667
"CH";30;653,416666666667
"CH";31;593,977777777778
"CH";32;1740,65833333333
"CH";32,5;1623,58412698413
"CH";32,9;1214,44599206349
"CH";42,2;92,3333333333333
"CH";42,91;47,1111111111111
"CH";43;1167,51646825397
"CH";62;4,58333333333333
"CI";10;2,5
"CI";20,1;4,25
"CI";23,5;0,25
"CI";26,5;0,25
"CI";28,9;1,5
"CI";43;1
"CL";10;2,25
"CL";10,5;1
"CL";11;0,25
"CL";13;1
"CL";14;1
