"";"10";"10.5";"11";"12";"13";"14";"15";"16";"17";"18.1";"19";"20.1";"20.2";"20.3";"20.4";"20.42";"20.5";"20.51";"20.6";"21";"22";"22.1";"22.2";"23";"23.1";"23.3";"23.42";"23.5";"24";"24.46";"25.1";"25.2";"25.3";"25.4";"25.5";"25.6";"25.7";"25.9";"25.94";"26.1";"26.11";"26.2";"26.3";"26.4";"26.5";"26.51";"26.52";"26.6";"26.7";"26.8";"27.1";"27.12";"27.2";"27.3";"27.33";"27.4";"27.5";"27.9";"28.1";"28.11";"28.14";"28.21";"28.22";"28.23";"28.25";"28.29";"28.3";"28.4";"28.9";"28.92";"28.94";"28.95";"28.99";"29.1";"29.3";"30";"31";"32";"32.5";"32.9";"42.2";"42.91";"43";"62"
"18.1";930;15;56;144;22929;548;164;1456;61441;1276062;333;150700;586;209776;2219;948;13734;119;656;23940;18467;25;587;69516;5043;1707;251;3823;3986;39;392;135;68;332;877;1811;1780;89;0;46662;5688;43086;45994;1632;12002;2863;670;434;35950;40299;158;672;1383;3507;2525;1475;7372;1196;782;34;259;10;221;576253;112;3569;1611;10302;140535;141;3439;2167;2016;2211;0;226;2287;13021;4046;82940;34;2;4725;18181
"19";4617;9;342;250;1863;10;3;483;1086;333;1738822;809969;1267;2693;5088;647;89981;2164;1602;28231;1352;403;7023;1026;535;456;4;6544;12746;59;1504;1969;189;1;545;41;194;49;0;2150;3682;5055;409;30;8153;3049;0;688;269;285;350;193;7177;1097;88;100;3535;225;4172;9166;23;11142;180;263;3373;141899;1750;4945;28723;459;415;34;30331;15377;86;2352;64;1444;5950;1796;50;134;234;573
"20.1";269298;428;31565;39893;378012;16175;22822;23373;159202;150700;809969;33176205;531057;1149682;385103;211392;1040985;24928;255130;2623786;959134;75886;272874;689557;142254;33372;7164;667460;351586;2463;47053;38040;80157;6564;87662;57641;10955;5146;226;1694313;511557;411288;57693;3208;591606;61121;2839;69339;361222;92363;23192;14420;648684;512130;30950;31039;238658;23387;208796;167019;23352;144105;13953;400851;84695;2280037;478877;157214;1120153;13291;94125;5720;383289;167878;263;104173;7636;135125;537627;550238;41044;58716;129113;17958
"20.2";84686;152;2481;2882;15500;1412;431;437;7664;586;1267;531057;2754022;38792;60438;32515;22521;615;3668;1090639;2727;144;460;7648;2770;65;467;6299;1624;2;113;1;95;72;1771;968;366;69;1;2054;5712;1581;994;151;21277;377;94;1608;1983;380;101;9;369;970;253;480;6716;122;835;62;2438;158;88;810;1612;16683;203223;1105;12877;70;2187;168;9164;1555;0;941;666;3029;77255;13234;329;743;3452;385
"20.3";5965;31;723;676;52474;1585;549;33584;38797;209776;2693;1149682;38792;2779778;35294;16009;169444;888;6906;51328;28151;2387;4211;150146;44680;2097;346;53946;12179;229;845;1379;200;1107;16770;20994;2203;1493;13;131924;22504;27421;7140;141;26692;4147;479;1438;66695;6710;2893;1810;7867;77504;5500;3944;12535;1822;9866;1141;1048;167;1850;311159;6605;24363;13420;15244;292411;6420;3251;137;23195;12633;241;5501;979;24814;20283;65586;668;1432;36296;465
"20.4";168709;73;20487;5693;100137;2148;576;110;11606;2219;5088;385103;60438;35294;2411905;1526049;103560;138;5706;688400;9125;280;1126;6695;3169;530;1331;5079;2223;25;293;163;44;200;672;518;53;89;3;28684;2936;2609;1317;70;13920;436;18;2628;4836;1823;21;15;536;868;340;305;43479;148;1215;191;7292;47;1234;5751;232;27194;3950;5938;50079;77;22478;384;45206;1452;3;196;4546;3253;64750;28198;298;35;494;1245
"20.42";122168;46;16189;2429;23724;722;549;52;4209;948;647;211392;32515;16009;1526049;1542962;45943;42;2015;555423;3176;15;310;3161;1533;189;116;2451;434;0;304;0;0;58;377;53;13;27;6;998;1664;677;307;3;10843;153;17;1967;647;952;4;12;126;495;214;151;20335;62;240;14;4939;2;36;2421;85;6068;2929;1694;6472;36;1566;76;21658;158;1;12;150;1988;43847;6769;70;9;114;822
"20.5";118858;39;6173;77227;45145;3743;2158;17727;26325;13734;89981;1040985;22521;169444;103560;45943;3568112;40979;7351;302018;52767;2854;7125;189061;23316;4282;132;29306;92894;102;2110;2768;4285;3601;10673;34344;2544;6672;9;334022;18894;49413;7328;209;91199;4799;728;29835;44103;3859;5207;865;13465;46094;16082;3009;17403;2281;43612;8002;374;5759;1474;58328;8210;104235;8138;73970;289573;3570;13473;579;32298;32711;90;8034;657;15077;79129;56883;695;3754;25411;666
"20.51";57;2;3;41;121;65;1;10;238;119;2164;24928;615;888;138;42;40979;638586;22;7295;2504;190;379;1703;150;672;0;1265;3258;1;161;128;109;54279;1877;225;315;1100;27;1628;1068;2970;4274;420;15532;4224;189;492;747;69;897;229;879;197;1755;667;900;625;5741;9432;0;630;28;997;62;6368;2690;10806;29586;10821;2740;6;3126;13646;1;19211;46;2898;1328;2447;17;1157;4337;211
"20.6";1551;0;211;4549;152572;8934;301;97;13889;656;1602;255130;3668;6906;5706;2015;7351;22;785000;12084;19316;50;4056;15036;4923;691;1;20493;3518;2;1410;4;53;1033;993;684;248;40;5;12798;12752;691;768;30;4841;492;2;720;4620;326;167;47;9607;6466;323;69;5545;712;1671;435;774;1321;23;2332;431;33359;4821;1289;12536;42;320347;2010;1638;3603;0;374;1067;10667;28050;2878;66;255;1713;0
"21";1718331;163;196811;41642;38784;3272;1505;1154;25808;23940;28231;2623786;1090639;51328;688400;555423;302018;7295;12084;24449220;17716;1657;3164;17722;10284;1250;110;20117;18649;1145;520;816;634;564;7590;4455;931;547;54;281864;84593;144390;15749;890;1683870;7129;1766;75468;28431;33496;852;300;22684;9772;1923;1776;35113;1642;9597;673;2375;1577;244;50267;1573;163317;269616;8753;60421;211;9808;92;50557;6797;132;2248;1931;5648;950791;69730;132;939;1928;9515
"22";11322;1089;2704;1791;48871;7126;17429;11171;8807;18467;1352;959134;2727;28151;9125;3176;52767;2504;19316;17716;4297640;13694;280543;405101;21883;32454;890;24443;55855;127;8015;773;469;3405;39963;9442;11175;14058;111;148831;16943;57582;31922;481;77617;36473;1799;6347;137618;7520;8269;3305;21188;51164;24633;11237;64753;8551;106345;7545;7132;1285;11312;114063;10102;89378;15487;122851;405658;3920;39164;2928;24359;161765;2126;34590;13772;147319;110734;174824;2703;3031;47361;6127
"22.1";146;16;25;0;297;131;54;0;175;25;403;75886;144;2387;280;15;2854;190;50;1657;13694;93782;1703;1050;122;0;0;112;23;0;0;0;0;0;0;3;25;0;0;396;80;110;62;0;332;86;6;64;157;51;47;5;230;301;5;128;7;7;303;17;0;0;9;173;4;1545;78;111;592;4;30;0;1052;235;16;13;18;305;673;569;0;0;64;0
"22.2";1303;55;56;294;9263;169;2354;1406;1976;587;7023;272874;460;4211;1126;310;7125;379;4056;3164;280543;1703;559299;30713;2546;2773;64;4468;7168;4;328;102;47;286;1493;399;593;288;1;10565;808;905;734;43;4938;1058;21;243;2266;646;377;44;1505;15564;1325;334;3507;851;5904;331;156;2307;263;4465;531;14757;1137;9473;53088;310;7095;299;27679;5762;0;1593;586;7381;4527;9256;60;226;4320;664
"23";10468;221;639;1318;141025;24745;5675;44021;51091;69516;1026;689557;7648;150146;6695;3161;189061;1703;15036;17722;405101;1050;30713;2852385;67677;23023;402;71678;60744;113;4851;4364;1764;14097;12158;29963;17910;4526;105;303460;21108;91778;23714;262;22531;3516;669;5568;142443;10897;5622;1287;32947;70527;9280;13033;50167;17380;43794;6901;5795;499;2694;70379;12137;54667;21820;81726;406176;5852;42437;5605;4323;83981;148;29981;10024;78821;84417;263144;1208;5559;166830;448
"23.1";314;1;131;99;16467;41;5;187;3080;5043;535;142254;2770;44680;3169;1533;23316;150;4923;10284;21883;122;2546;67677;1342082;3977;506;90408;14645;62;7519;1744;467;668;3205;9104;18191;243;0;122907;7800;38528;17679;66;18363;5417;824;3506;199890;1614;1005;112;8653;24093;1443;5941;23214;2527;4363;919;361;7243;2751;21882;1237;28410;1046;44333;97336;436;8159;59;2783;18936;36;1109;874;3541;16587;26406;44;6;9950;308
"23.3";782;333;14;66;1569;70;16;1605;1568;1707;456;33372;65;2097;530;189;4282;672;691;1250;32454;0;2773;23023;3977;723914;559;169228;9469;25;3341;288;458;297;16122;515;902;662;5;19928;1104;1511;1086;36;11225;2168;18;137;1059;106;538;52;1718;15018;564;109;3926;671;7198;2718;259;1440;1369;2692;1121;21225;1997;23416;80996;7021;1220;389;14891;4496;10;4192;153;5998;3605;3565;303;4539;80484;246
"23.42";7;0;0;15;35;25;0;0;10;251;4;7164;467;346;1331;116;132;0;1;110;890;0;64;402;506;559;257861;2854;13;0;13;20;0;1;1;172;833;599;14;601;0;451;4920;241;10776;4076;171;65;73;0;492;589;221;32;1137;420;2690;599;9828;11;38792;42;61;909;5961;4943;488;286;2842;31;2;0;644;717;4;2248;497;1714;14350;1282;14230;78;7536;390
