"";"MORc(mat_1st, RCA = T)";"RCA";"RCA_Step0";"RCA_Step1";"RCA_Step2"
"QA";89,9058358322662;89,9058358322662;1;60;11,5
"RH";91,4545296875509;91,4545296875509;3;66,6666666666667;11,717587967588
"RO";92,6148798904016;92,6148798904016;14;58,1428571428571;12,2208143114993
"RU";84,6824212828367;84,6824212828367;11;55,4545454545455;11,8399017228428
"SA";92,9365539976009;92,9365539976009;16;55,25;12,1297262450874
"SC";91,683558733381;91,683558733381;14;56,0714285714286;12,2932495925108
"SD";93,5691538492292;93,5691538492292;1;67;12,3880597014925
"SE";95,1815726278059;95,1815726278059;16;59;12,4421591945898
"SG";64,4719452258986;64,4719452258986;10;45,4;11,6923794422632
"SI";87,5383709395477;87,5383709395477;4;53;11,5235570398034
"SK";88,3815003795879;88,3815003795879;7;53,5714285714286;12,2980915408695
"SL";90,5293857581171;90,5293857581171;5;64,2;11,6976538606986
"SM";88,1321351010445;88,1321351010445;10;56;12,0613158465853
"SN";84,8456947684936;84,8456947684936;6;46,3333333333333;11,5744016288371
"SR";75,6507557655504;75,6507557655504;1;49;10,5918367346939
"ST";92,3909403471393;92,3909403471393;12;54,5;12,0554140064277
"SU";91,2444008994683;91,2444008994683;14;52,7142857142857;11,995252502995
"SV";83,5925383686684;83,5925383686684;10;47,7;11,9914246794872
"SY";72,6426194948694;72,6426194948694;7;52,8571428571429;11,0266251261802
"SZ";86,8582023244447;86,8582023244447;2;43,5;10,8796296296296
"TD";78,0820119590272;78,0820119590272;6;59,1666666666667;11,1498010156966
"TH";89,2997708928293;89,2997708928293;15;51,2;12,295390976124
"TN";91,3057063489445;91,3057063489445;10;55,1;12,189668983833
"TP";39,7046643322591;39,7046643322591;1;10;11,5
"TR";89,9813053722763;89,9813053722763;13;49,6153846153846;12,5980765520201
"TS";91,9623058251851;91,9623058251851;1;66;12,530303030303
"TT";93,8004813741956;93,8004813741956;8;62,5;12,0601716543685
"TW";82,9236383431951;82,9236383431951;10;55,5;11,7243167672333
"TZ";89,2703631070193;89,2703631070193;5;49,8;11,8054345209437
"UA";91,57037329544;91,57037329544;1;84;11,5357142857143
"UG";56,4066365382599;56,4066365382599;3;45,6666666666667;10,0885369073002
"UK";93,0380458460831;93,0380458460831;11;58,4545454545455;12,2508174589417
"US";95,5393956308883;95,5393956308883;18;58,9444444444444;12,6984464662644
"UY";91,5861548158829;91,5861548158829;13;53,9230769230769;12,5682564969609
"VA";93,1737723259425;93,1737723259425;4;52,5;12,0574828025648
"VE";94,5893958511598;94,5893958511598;3;71,3333333333333;11,8634227884702
"VG";94,6084360794401;94,6084360794401;2;69;12,4371848739496
"VN";54,9459413762761;54,9459413762761;4;35,5;10,0889907886231
"WS";59,3193967306685;59,3193967306685;2;20,5;10,2211538461538
"XA";89,9058358322662;89,9058358322662;1;60;11,5
"YE";96,1786756051497;96,1786756051497;2;63;12,2492439516129
"YU";94,2626022609983;94,2626022609983;13;58,5384615384615;12,5175612691445
"ZA";93,887188204749;93,887188204749;15;65;12,2966257298645
"ZR";84,9486945602254;84,9486945602254;2;56;11,6428571428571
"ZW";92,1190821976857;92,1190821976857;14;58,0714285714286;12,0270499681421
