"";"MORc(Top4_2nd, RCA = F)";"RCA";"RCA_Step0";"RCA_Step1";"RCA_Step2"
"KZ";8,96125399554085;8,96125399554085;64;1201344,546875;1480395,79433835
"LB";51,8200593749242;51,8200593749242;20;1227395;1518328,82818121
"LI";9,90094556912086;9,90094556912086;121;1118664,23140496;1488373,10482928
"LK";85,6260995712523;85,6260995712523;16;1111645,125;1549060,12905728
"LT";9,36560685423247;9,36560685423247;443;1217489,63656885;1479124,5947805
"LU";25,1864545869379;25,1864545869379;276;1168826,80434783;1496681,26686055
"LV";18,3849849585067;18,3849849585067;306;1099405,85947712;1498383,2459128
"LY";0;0;1;1227024;1469491,01842588
"MA";67,7584982926792;67,7584982926792;10;1263491,9;1525028,75146495
"MC";35,4443870530143;35,4443870530143;66;1119734,54545455;1509469,08549974
"MD";28,2394695857586;28,2394695857586;30;1106402,83333333;1507647,35077362
"ME";92,5761863567739;92,5761863567739;1;1557205;1525261,12576764
"MG";92,5761863567739;92,5761863567739;3;1557205;1525261,12576764
"MH";0;0;1;1227024;1469491,01842588
"MK";13,2251694795391;13,2251694795391;7;1274192,71428571;1477458,17661756
"ML";92,5761863567739;92,5761863567739;1;1557205;1525261,12576764
"MN";7,37595492871635;7,37595492871635;6;1007398;1497428,02653847
"MO";88,3745524949473;88,3745524949473;15;1405420,4;1532542,22387808
"MP";0;0;1;1227024;1469491,01842588
"MT";29,603989491134;29,603989491134;16;983886;1514533,24567834
"MU";0;0;1;1227024;1469491,01842588
"MX";35,8141611324253;35,8141611324253;479;1076593,05010438;1513254,69741166
"MY";52,7911746343025;52,7911746343025;356;1247957,56179775;1513987,9084436
"NC";0;0;1;1227024;1469491,01842588
"NG";92,5761863567739;92,5761863567739;1;1557205;1525261,12576764
"NI";0;0;1;1227024;1469491,01842588
"NL";45,1909327679177;45,1909327679177;8059;1167070,01824048;1514360,88526763
"NO";31,3146267263458;31,3146267263458;3679;1138211,30171242;1506221,34934665
"NP";92,5761863567739;92,5761863567739;1;1557205;1525261,12576764
"NR";5,53196619653726;5,53196619653726;4;1062304,5;1490443,77451033
"NZ";44,4311448037984;44,4311448037984;1789;1148563,8490777;1515833,15248311
"OA";92,5761863567739;92,5761863567739;2;1557205;1525261,12576764
"OM";11,0639323930745;11,0639323930745;2;897585;1511396,53059477
"PA";22,0639935330055;22,0639935330055;26;1040572,57692308;1502476,45296594
"PE";50,1706630079994;50,1706630079994;9;867987,333333333;1540253,75305938
"PG";11,0639323930745;11,0639323930745;2;897585;1511396,53059477
"PH";55,4673293668966;55,4673293668966;51;977295,764705882;1532253,50699145
"PK";54,7094168331928;54,7094168331928;27;1312846,33333333;1512890,85944357
"PL";12,6598348293565;12,6598348293565;10241;1099345,98818475;1493518,11273074
"PR";27,4502254134921;27,4502254134921;14;850628,285714286;1531336,69226327
"PT";31,7850472515248;31,7850472515248;290;1033185,29310345;1513943,8173576
"PW";0;0;1;1227024;1469491,01842588
"QA";100;100;1;269495;1606436,68042821
"RE";92,5761863567739;92,5761863567739;1;1557205;1525261,12576764
"RO";11,4116726417223;11,4116726417223;3746;1134311,38280833;1488953,97925167
"RS";0;0;1;1227024;1469491,01842588
"RU";15,4483716475834;15,4483716475834;55268;1159281,92214301;1489970,16903061
"RW";0;0;1;1227024;1469491,01842588
"SA";27,2881304399819;27,2881304399819;75;1196464,33333333;1498146,68983768
"SE";41,519760341977;41,519760341977;13027;1174032,65702004;1511334,98565925
"SG";59,6555168380288;59,6555168380288;1941;1282294,33951571;1517178,09289974
"SI";17,5957105572518;17,5957105572518;527;1100737,43263757;1497316,0080073
"SK";16,7939167849394;16,7939167849394;447;1150079,66219239;1492133,99457091
"SL";19,1173418571538;19,1173418571538;6;1172241,16666667;1492754,54037247
"SM";49,9760706427451;49,9760706427451;6;1282301,5;1511344,57615306
"SN";92,5761863567739;92,5761863567739;1;1557205;1525261,12576764
"ST";3,16112354087844;3,16112354087844;14;1132898,57142857;1481464,02190271
"SU";7,594914867598;7,594914867598;3242;1163359,1866132;1482720,76567209
"SV";35,9337095817136;35,9337095817136;7;1038985,14285714;1521344,34523972
"SY";48,5209266428381;48,5209266428381;9;1154145,11111111;1522214,74091259
"SZ";92,5761863567739;92,5761863567739;1;1557205;1525261,12576764
"TC";16,6666666666667;16,6666666666667;6;1067435,83333333;1492315,29542627
"TG";0;0;1;1227024;1469491,01842588
"TH";48,7478889864867;48,7478889864867;143;1027799,0979021;1525618,62853675
"TJ";15,5889116828717;15,5889116828717;75;1174412,69333333;1489219,31630766
"TK";92,5761863567739;92,5761863567739;1;1557205;1525261,12576764
"TM";5,2789220601947;5,2789220601947;290;1080483,00344828;1488468,5587338
"TN";45,9977555203742;45,9977555203742;7;1180279,28571429;1517338,49995457
"TR";39,8873254329321;39,8873254329321;229;1111036,7860262;1515417,65429727
"TW";62,7130459234108;62,7130459234108;15856;1288397,02850656;1520042,8617539
"UA";16,8947837484379;16,8947837484379;829;1144576,97225573;1493124,34493167
"UG";30,8587287855913;30,8587287855913;6;1337084,33333333;1488081,05420647
"US";60,2908069205301;60,2908069205301;735195;1232585,33983229;1521258,46096703
"UY";65,3257482142424;65,3257482142424;14;885261,357142857;1546307,5032869
"UZ";14,786853553964;14,786853553964;164;1257268,72560976;1480547,77333584
"VA";22,9408102285846;22,9408102285846;10;1161284,6;1497407,24476179
"VE";44,9026167183497;44,9026167183497;171;1285510,1871345;1505681,89543602
"VG";68,2044835747046;68,2044835747046;62;1231912,09677419;1526260,515399
"VN";34,7160698837902;34,7160698837902;8;1350841,875;1490404,80867904
"VU";92,5761863567739;92,5761863567739;1;1557205;1525261,12576764
"WO";22,127864786149;22,127864786149;2;568146;1553302,04276366
"YE";92,5761863567739;92,5761863567739;1;1557205;1525261,12576764
"YU";23,6603238899449;23,6603238899449;48;1056832,22916667;1506029,04742147
"ZA";40,1048846550966;40,1048846550966;3402;1064895,86067019;1521367,52347636
"ZM";0;0;1;1227024;1469491,01842588
"ZW";22,127864786149;22,127864786149;1;568146;1553302,04276366
