"";"MORc(Top4_2nd, RCA = T)";"RCA";"RCA_Step0";"RCA_Step1";"RCA_Step2"
"NR";10,9862703966635;10,9862703966635;2;86,5;1,7978432978433
"NZ";10,9862703966635;10,9862703966635;2;86,5;1,7978432978433
"OA";100;100;1;50;1,68
"OM";10,9862703966635;10,9862703966635;2;86,5;1,7978432978433
"PA";46,6045394556692;46,6045394556692;2;69;1,88966588966589
"PE";57,5908098523327;57,5908098523327;2;56,5;2,01074151074151
"PG";10,9862703966635;10,9862703966635;2;86,5;1,7978432978433
"PH";93,2090789113383;93,2090789113383;1;39;2,1025641025641
"PK";60,9862703966635;60,9862703966635;2;62;1,79945945945946
"PL";10,9862703966635;10,9862703966635;2;86,5;1,7978432978433
"PR";21,972540793327;21,972540793327;1;74;1,91891891891892
"PT";38,3938732348885;38,3938732348885;3;70,6666666666667;1,8994168994169
"PW";0;0;1;99;1,67676767676768
"QA";93,2090789113383;93,2090789113383;1;39;2,1025641025641
"RE";100;100;1;50;1,68
"RO";10,9862703966635;10,9862703966635;2;86,5;1,7978432978433
"RS";0;0;1;99;1,67676767676768
"RU";0;0;1;99;1,67676767676768
"RW";0;0;1;99;1,67676767676768
"SA";10,9862703966635;10,9862703966635;2;86,5;1,7978432978433
"SE";10,9862703966635;10,9862703966635;2;86,5;1,7978432978433
"SG";100;100;1;50;1,68
"SI";10,9862703966635;10,9862703966635;2;86,5;1,7978432978433
"SK";10,9862703966635;10,9862703966635;2;86,5;1,7978432978433
"SL";10,9862703966635;10,9862703966635;2;86,5;1,7978432978433
"SM";60,9862703966635;60,9862703966635;2;62;1,79945945945946
"SN";100;100;1;50;1,68
"ST";0;0;1;99;1,67676767676768
"SU";0;0;1;99;1,67676767676768
"SV";21,972540793327;21,972540793327;1;74;1,91891891891892
"SY";60,9862703966635;60,9862703966635;2;62;1,79945945945946
"SZ";100;100;1;50;1,68
"TC";46,6045394556692;46,6045394556692;2;69;1,88966588966589
"TG";0;0;1;99;1,67676767676768
"TH";38,3938732348885;38,3938732348885;3;70,6666666666667;1,8994168994169
"TJ";0;0;1;99;1,67676767676768
"TK";100;100;1;50;1,68
"TM";10,9862703966635;10,9862703966635;2;86,5;1,7978432978433
"TN";21,972540793327;21,972540793327;1;74;1,91891891891892
"TR";10,9862703966635;10,9862703966635;2;86,5;1,7978432978433
"TW";100;100;1;50;1,68
"UA";10,9862703966635;10,9862703966635;2;86,5;1,7978432978433
"UG";0;0;1;99;1,67676767676768
"US";96,6045394556692;96,6045394556692;2;44,5;1,89128205128205
"UY";93,2090789113383;93,2090789113383;1;39;2,1025641025641
"UZ";0;0;1;99;1,67676767676768
"VA";10,9862703966635;10,9862703966635;2;86,5;1,7978432978433
"VE";50;50;2;74,5;1,67838383838384
"VG";96,6045394556692;96,6045394556692;2;44,5;1,89128205128205
"VN";0;0;1;99;1,67676767676768
"VU";100;100;1;50;1,68
"WO";21,972540793327;21,972540793327;1;74;1,91891891891892
"YE";100;100;1;50;1,68
"YU";10,9862703966635;10,9862703966635;2;86,5;1,7978432978433
"ZA";21,972540793327;21,972540793327;1;74;1,91891891891892
"ZM";0;0;1;99;1,67676767676768
"ZW";21,972540793327;21,972540793327;1;74;1,91891891891892
