"";"MORc(Surrounding_3rd, RCA = T)";"RCA";"RCA_Step0";"RCA_Step1";"RCA_Step2"
"SZ";40,1571794431543;40,1571794431543;5;86,4;2,87795093164183
"TC";33,8516660796247;33,8516660796247;2;82;2,95962546816479
"TF";43,6983471245889;43,6983471245889;1;89;2,93258426966292
"TG";41,3349950115535;41,3349950115535;3;68,6666666666667;2,88453152211773
"TH";55,119814826425;55,119814826425;4;89,75;2,91150427219791
"TJ";26,1537324693743;26,1537324693743;1;137;2,63503649635036
"TK";26,1537324693743;26,1537324693743;1;137;2,63503649635036
"TM";40,1597531018999;40,1597531018999;3;105;2,88958145383963
"TN";12,0024925173302;12,0024925173302;2;81;2,83816091954023
"TO";0;0;1;87;2,68965517241379
"TR";38,3904560905554;38,3904560905554;2;113;2,86808004592799
"TT";38,3904560905554;38,3904560905554;2;113;2,86808004592799
"TV";75,3135898558683;75,3135898558683;2;66,5;3,03919816138917
"TW";64,9290542026451;64,9290542026451;3;56;2,86553081838796
"TX";70,7821775732751;70,7821775732751;1;49;2,63265306122449
"TZ";0;0;1;87;2,68965517241379
"UA";34,9260397969816;34,9260397969816;2;113;2,78381038300664
"UD";26,1537324693743;26,1537324693743;1;137;2,63503649635036
"UG";34,9260397969816;34,9260397969816;2;113;2,78381038300664
"UK";0;0;1;87;2,68965517241379
"UM";26,1537324693743;26,1537324693743;1;137;2,63503649635036
"UR";26,1537324693743;26,1537324693743;1;137;2,63503649635036
"US";16,7195725013449;16,7195725013449;3;99,6666666666667;2,77045277847694
"UT";26,1537324693743;26,1537324693743;1;137;2,63503649635036
"UY";58,926970727037;58,926970727037;3;90;2,90447760637624
"UZ";13,0768662346871;13,0768662346871;2;112;2,66234583438208
"VA";41,3349950115535;41,3349950115535;3;68,6666666666667;2,88453152211773
"VE";34,9260397969816;34,9260397969816;2;113;2,78381038300664
"VG";0;0;1;87;2,68965517241379
"VI";24,0049850346604;24,0049850346604;1;75;2,98666666666667
"VN";41,3349950115535;41,3349950115535;3;68,6666666666667;2,88453152211773
"WA";0;0;1;87;2,68965517241379
"WF";50;50;2;65,5;2,83346394984326
"WS";24,877388248799;24,877388248799;3;83,6666666666667;2,92581514486203
"XK";0;0;1;87;2,68965517241379
"XN";12,0024925173302;12,0024925173302;2;81;2,83816091954023
"YE";48,4679550213247;48,4679550213247;2;93;2,63384477878743
"YS";0;0;1;87;2,68965517241379
"YU";25,0793587520173;25,0793587520173;2;106;2,81085158150852
"ZA";40,1597531018999;40,1597531018999;3;105;2,88958145383963
"ZJ";100;100;1;44;2,97727272727273
"ZM";47,3935813039677;47,3935813039677;2;62;2,80965986394558
"ZW";38,3904560905554;38,3904560905554;2;113;2,86808004592799
"ZZ";70,7821775732751;70,7821775732751;1;49;2,63265306122449
