"";"MORc(mat_1st, RCA = F)";"RCA";"RCA_Step0";"RCA_Step1";"RCA_Step2"
"SU";50,6670261157397;50,6670261157397;39173;509324,167462283;6239984,93382959
"SV";51,5908146796742;51,5908146796742;40;465284,2;6263131,78039252
"SY";40,3211560661698;40,3211560661698;8;429269;5901980,00490245
"SZ";53,8874079391318;53,8874079391318;2;395925;6376009,79391279
"TD";43,2005026654898;43,2005026654898;19;686900,157894737;6001510,41403308
"TH";41,4825247686887;41,4825247686887;47;374540,617021277;5925599,35505561
"TN";40,6129880179877;40,6129880179877;31;490549,483870968;5886268,51421241
"TP";100;100;1;725219;7984985,86217129
"TR";51,3231923039365;51,3231923039365;105;419524,980952381;6267079,20519979
"TS";0;0;1;187516;4546065,27219544
"TT";31,6004738547003;31,6004738547003;19;453314,947368421;5600010,55358014
"TW";42,0062693172891;42,0062693172891;4707;432181,395793499;5964465,56364456
"TZ";35,3638975026343;35,3638975026343;7;466340,142857143;5725613,09648666
"UA";11,5477063729037;11,5477063729037;1;414430;4961012,12178896
"UG";51,3518730384459;51,3518730384459;3;711306,666666667;6260036,56417182
"UK";38,3881929551201;38,3881929551201;30;375956,533333333;5829124,4971546
"US";48,4221451802859;48,4221451802859;1486186;464191,652377293;6174629,75418278
"UY";32,63092628704;32,63092628704;36;364695,388888889;5641470,89950112
"VA";47,7164026995047;47,7164026995047;16;352083,5625;6158876,66840944
"VE";36,4170322102248;36,4170322102248;751;474402,749667111;5748469,46598599
"VG";32,2635778142918;32,2635778142918;2;350103,5;5598175,46318715
"VN";59,9899615421442;59,9899615421442;9;673762,888888889;6554234,65354355
"WS";79,8600095194143;79,8600095194143;2;356569;7257654,59218472
"XA";30,3928872994258;30,3928872994258;2;394210;5590345,81340149
"YE";35,1555237267498;35,1555237267498;2;323491,5;5687419,9128656
"YU";37,2798890122701;37,2798890122701;526;442811,326996198;5794503,82828406
"ZA";36,3124651741716;36,3124651741716;42245;445450,4294236;5764599,28637332
"ZR";37,9519326674809;37,9519326674809;2;336892,5;5839492,78064347
"ZW";42,4875422057448;42,4875422057448;20;446382,4;5972793,96417606
