"";"MORc(Surrounding_3rd, RCA = F)";"RCA";"RCA_Step0";"RCA_Step1";"RCA_Step2"
"NY";49,8077848262995;49,8077848262995;7;2292890,85714286;3354655,93012564
"NZ";39,8309087110346;39,8309087110346;6349;1957013,91652229;3160282,61456547
"OA";93,2025436598146;93,2025436598146;1;3892557;3594819,95881293
"OH";46,3501884280739;46,3501884280739;3;1353081,66666667;3250703,29378321
"OM";62,7225299417545;62,7225299417545;17;2564480,88235294;3420866,65799132
"ON";25,9567533735918;25,9567533735918;2;2347586;3438537,84123436
"OR";0;0;1;1755945;2848430,47980603
"PA";51,6604960716923;51,6604960716923;418;1600174,9354067;3243345,628025
"PE";42,6948216615294;42,6948216615294;48;1876160,3125;3183758,90407757
"PF";25,9567533735918;25,9567533735918;2;2347586;3438537,84123436
"PH";74,3147002068353;74,3147002068353;904;2502874,38163717;3388969,72093444
"PK";54,2521579387888;54,2521579387888;501;2201009,11776447;3241702,88177478
"PL";60,024796666035;60,024796666035;25113;2307726,74730219;3325445,02131611
"PO";25,9567533735918;25,9567533735918;1;2347586;3438537,84123436
"PR";27,0387519436906;27,0387519436906;21;2074731,80952381;3092412,63783857
"PS";77,5816900035066;77,5816900035066;2;1395382;3631746,7427407
"PT";47,4710856423284;47,4710856423284;3244;2024002,3770037;3242676,4877778
"PY";33,5398043658797;33,5398043658797;16;1616975,5625;3102750,53144835
"QA";43,3151618974254;43,3151618974254;141;2181698,87943262;3249649,79845433
"RE";74,3125835204767;74,3125835204767;3;1259810;3211948,70780752
"RI";77,5816900035066;77,5816900035066;1;1395382;3631746,7427407
"RO";59,3349939914602;59,3349939914602;8288;2593808,24215734;3309289,65993501
"RS";61,0214947466142;61,0214947466142;1211;2350410,85879438;3288588,95879383
"RU";36,7942283465584;36,7942283465584;202880;2117484,27913052;3118996,43822567
"SA";50,9368598300596;50,9368598300596;1915;2385146,46005222;3299401,18003306
"SB";96,6012718299073;96,6012718299073;2;2928075,5;3343400,38231486
"SC";41,9732724325903;41,9732724325903;12;2027529;3229440,27741684
"SD";63,2246227244621;63,2246227244621;9;1896842,88888889;3233106,23318112
"SE";47,994965222198;47,994965222198;52888;2171814,02299198;3298810,31186797
"SG";74,7149114566364;74,7149114566364;8545;2328970,85722645;3256039,0881114
"SI";64,2035751013296;64,2035751013296;3222;2322383,37181875;3336991,48492009
"SJ";100;100;1;1963594;3091980,80581678
"SK";67,9047941672014;67,9047941672014;1563;2334141,33205374;3396203,78903378
"SL";85,4856771253743;85,4856771253743;30;3146407,26666667;3440959,20751004
"SM";67,663412618242;67,663412618242;18;1610370,72222222;3473444,01207483
"SN";78,0074333761434;78,0074333761434;10;2587887,1;3327788,61681058
"SO";100;100;4;1963594;3091980,80581678
"SP";61,468875280715;61,468875280715;2;907918;3271932,65880289
"SR";38,5274285114268;38,5274285114268;13;2316332,53846154;3306457,32768719
"SU";47,4743081876137;47,4743081876137;3;1588797;3199136,99062787
"SV";44,3616903448319;44,3616903448319;13;2309558,61538462;3191598,14345911
"SX";0;0;1;1755945;2848430,47980603
"SY";41,3995656180362;41,3995656180362;17;2128524,05882353;3232973,52481977
"SZ";50,3727561728249;50,3727561728249;28;1894817,92857143;3187748,1745785
"TC";72,9989239861854;72,9989239861854;8;2163232,875;3392815,64760096
"TF";77,5816900035066;77,5816900035066;1;1395382;3631746,7427407
"TG";51,258788206574;51,258788206574;6;2039413,33333333;3273676,9713656
"TH";71,7072750978104;71,7072750978104;1074;2076638,63407821;3255312,62181477
"TJ";17,0784233663321;17,0784233663321;10;1933549,9;3001401,05400019
"TK";0;0;1;1755945;2848430,47980603
"TM";28,3095242423161;28,3095242423161;8;1572823;3125983,97760062
"TN";60,1870996933663;60,1870996933663;95;2316317,87368421;3317196,28854878
"TO";25,9567533735918;25,9567533735918;2;2347586;3438537,84123436
"TR";58,3863141133711;58,3863141133711;11431;1868095,22001575;3288855,6440142
"TT";23,748756550562;23,748756550562;34;1739993,47058824;2989997,42295075
"TV";80,7344376403575;80,7344376403575;2;1435756;3181956,73230984
