"";"MORc(mat_1st, RCA = T)";"RCA";"RCA_Step0";"RCA_Step1";"RCA_Step2"
"IE";94,9662377600074;94,9662377600074;16;58,9375;12,4329754531893
"IL";88,7486255443037;88,7486255443037;15;50,4;12,909211188734
"IN";95,1120069733163;95,1120069733163;12;60,5;12,3044030553265
"IQ";92,9613093969248;92,9613093969248;9;54,8888888888889;11,992485299087
"IR";86,8571984715051;86,8571984715051;16;49,5625;12,0936890973151
"IS";96,462018679767;96,462018679767;14;62,9285714285714;12,3631680997408
"IT";96,6750857297833;96,6750857297833;16;61,125;12,4260935708091
"JA";85,9704148233104;85,9704148233104;2;46;12,4198947871832
"JM";84,2570401720915;84,2570401720915;12;55;11,8061367144257
"JO";97,7778010237877;97,7778010237877;6;53,8333333333333;12,5794352798844
"JP";38,2963715924019;38,2963715924019;16;22,125;11,0812742272856
"KE";92,7133588574821;92,7133588574821;12;57,8333333333333;12,0031880505803
"KI";100;100;3;55,3333333333333;12,6751867413632
"KN";98,7939996637015;98,7939996637015;2;65,5;12,890281030445
"KP";79,8997468508301;79,8997468508301;15;49,4666666666667;12,0330927085158
"KR";65,7120201904528;65,7120201904528;14;39,8571428571429;12,1565793320953
"KW";92,9817172640655;92,9817172640655;11;51,0909090909091;12,002178274057
"KY";84,3421921100423;84,3421921100423;9;52,5555555555556;11,8639183203746
"LA";96,2888565277409;96,2888565277409;4;59;12,1805342881163
"LB";94,6029047614391;94,6029047614391;9;63,1111111111111;12,2916542919596
"LI";96,4724785352116;96,4724785352116;11;60,2727272727273;12,2373405589643
"LK";67,160627269499;67,160627269499;3;53,3333333333333;10,5433947772657
"LR";85,8944071280645;85,8944071280645;6;52,8333333333333;11,5920411921162
"LT";86,7484911781902;86,7484911781902;1;27;10,2592592592593
"LU";94,4952012442676;94,4952012442676;10;56,7;11,8274350246372
"LY";67,101737240498;67,101737240498;4;56;10,6140306122449
"MA";86,1040290005814;86,1040290005814;12;54,5833333333333;11,7732150094281
"MC";96,6015555315756;96,6015555315756;15;61,7333333333333;12,4545335606409
"MD";97,1018974089849;97,1018974089849;1;62;11,4516129032258
"MG";75,0343132609221;75,0343132609221;4;54,5;11,6222326211471
"ML";60,9719167580415;60,9719167580415;3;45,6666666666667;10,2529761904762
"MN";83,8897752462572;83,8897752462572;12;47,5833333333333;12,1814590087157
"MO";83,4256695965472;83,4256695965472;8;50,75;11,3243857209315
"MR";98,6708014291708;98,6708014291708;1;43;11,6279069767442
"MT";96,8819498116714;96,8819498116714;2;51,5;11,5639534883721
"MU";92,664208792333;92,664208792333;7;49,1428571428571;12,0794056558381
"MW";94,0991064746874;94,0991064746874;2;50;12,1124422026061
"MX";95,7692435574147;95,7692435574147;16;60,6875;12,3987559149241
"MY";96,0102339560596;96,0102339560596;10;64,2;12,2950492247323
"NC";82,237325734689;82,237325734689;2;44;11,0395081109367
"NG";93,7848960352501;93,7848960352501;12;52,75;12,2500767393429
"NL";88,5751532367196;88,5751532367196;16;55,375;12,604867613865
"NO";97,3054692188482;97,3054692188482;12;61,75;12,5159410677484
"NZ";97,4232655312224;97,4232655312224;15;65,1333333333333;12,4676274638914
"PA";96,4495243718086;96,4495243718086;9;66,3333333333333;12,1751177863726
"PC";38,1833013996555;38,1833013996555;1;18;11,8333333333333
"PE";87,4414804943358;87,4414804943358;13;55,5384615384615;11,9601282461213
"PH";95,3062006783527;95,3062006783527;12;63;12,2900036787009
"PK";76,2749730785311;76,2749730785311;11;45,9090909090909;11,8469544678897
"PL";89,118572834699;89,118572834699;16;53,8125;12,061821789606
"PR";78,565054905731;78,565054905731;10;51,1;11,5042184238526
"PT";95,1028149324996;95,1028149324996;13;62,0769230769231;12,3239641021672
"PY";81,6887194885784;81,6887194885784;7;46,4285714285714;12,0166746456812
"QA";95,0930981941722;95,0930981941722;1;60;11,5
"RH";93,2551684885887;93,2551684885887;3;66,6666666666667;11,717587967588
"RO";93,0333416863026;93,0333416863026;14;58,2857142857143;12,2068707096683
"RU";86,3220333543377;86,3220333543377;11;55,4545454545455;11,8399017228428
"SA";94,2999375888438;94,2999375888438;16;55,375;12,1175255934853
"SC";89,5341274621303;89,5341274621303;14;56,2857142857143;12,2605397499531
"SD";94,9009525318794;94,9009525318794;1;67;12,3880597014925
"SE";97,2019016646058;97,2019016646058;16;59,0625;12,4357131161585
"SG";56,7761337183555;56,7761337183555;10;45,5;11,5257127755965
