"";"MORc(Surrounding_1st, RCA = T)";"RCA";"RCA_Step0";"RCA_Step1";"RCA_Step2"
"JM";98,1188927752087;98,1188927752087;2;74,5;2,96650326797386
"JO";95,2935691162645;95,2935691162645;1;75;2,92
"JP";57,226887530014;57,226887530014;4;19,25;3,17847222222222
"KE";97,1771182222273;97,1771182222273;3;74,6666666666667;2,95100217864924
"KN";95,2935691162645;95,2935691162645;1;75;2,92
"KP";78,9331184757506;78,9331184757506;4;45,75;3,04944444444444
"KR";81,5400540915091;81,5400540915091;4;29,5;3,29444444444444
"KW";96,2731176811226;96,2731176811226;2;78;2,90444444444444
"KY";65,4125951834725;65,4125951834725;3;63;2,78600217864924
"LA";98,9851193044368;98,9851193044368;1;68;3,04411764705882
"LB";98,1188927752087;98,1188927752087;2;74,5;2,96650326797386
"LI";97,1771182222273;97,1771182222273;3;74,6666666666667;2,95100217864924
"LR";95,2935691162645;95,2935691162645;1;75;2,92
"LU";98,1188927752087;98,1188927752087;2;74,5;2,96650326797386
"LY";47,6467845581323;47,6467845581323;2;57,5;2,6725
"MA";64,7595628069004;64,7595628069004;3;61;2,79637254901961
"MC";97,1771182222273;97,1771182222273;3;74,6666666666667;2,95100217864924
"ML";0;0;1;40;2,425
"MN";97,1393442103506;97,1393442103506;2;71,5;2,98205882352941
"MO";0;0;1;40;2,425
"MX";97,1771182222273;97,1771182222273;3;74,6666666666667;2,95100217864924
"MY";97,2526662459806;97,2526662459806;1;81;2,88888888888889
"NG";98,1188927752087;98,1188927752087;2;74,5;2,96650326797386
"NL";100;100;3;51;3,28803921568627
"NO";97,1771182222273;97,1771182222273;3;74,6666666666667;2,95100217864924
"NZ";97,1771182222273;97,1771182222273;3;74,6666666666667;2,95100217864924
"PA";97,3758901852176;97,3758901852176;4;60,5;3,08825163398693
"PE";96,2731176811226;96,2731176811226;2;78;2,90444444444444
"PH";97,1771182222273;97,1771182222273;3;74,6666666666667;2,95100217864924
"PK";12,6070162332844;12,6070162332844;2;24,5;2,65694444444444
"PL";65,4125951834725;65,4125951834725;3;63;2,78600217864924
"PR";65,0749574400563;65,0749574400563;3;46,3333333333333;2,93796296296296
"PT";97,1771182222273;97,1771182222273;3;74,6666666666667;2,95100217864924
"PY";96,2731176811226;96,2731176811226;2;78;2,90444444444444
"RO";72,8828386666705;72,8828386666705;4;66;2,81950163398693
"RU";64,7595628069004;64,7595628069004;3;61;2,79637254901961
"SA";97,1771182222273;97,1771182222273;3;74,6666666666667;2,95100217864924
"SC";79,8560060227936;79,8560060227936;4;44;3,08047385620915
"SE";97,1771182222273;97,1771182222273;3;74,6666666666667;2,95100217864924
"SG";64,1820784540817;64,1820784540817;3;65,3333333333333;2,74462962962963
"SM";62,0995758855028;62,0995758855028;2;38,5;2,96650326797386
"ST";72,8828386666705;72,8828386666705;4;66;2,81950163398693
"SU";47,6467845581323;47,6467845581323;2;57,5;2,6725
"SV";72,8828386666705;72,8828386666705;4;66;2,81950163398693
"SY";0;0;1;40;2,425
"TD";0;0;1;40;2,425
"TH";96,8394804788112;96,8394804788112;3;58;3,10296296296296
"TN";0;0;1;40;2,425
"TP";25,2140324665688;25,2140324665688;1;9;2,88888888888889
"TR";96,8394804788112;96,8394804788112;3;58;3,10296296296296
"TT";0;0;1;40;2,425
"TW";97,1771182222273;97,1771182222273;3;74,6666666666667;2,95100217864924
"UG";0;0;1;40;2,425
"UK";96,2731176811226;96,2731176811226;2;78;2,90444444444444
"US";97,1771182222273;97,1771182222273;3;74,6666666666667;2,95100217864924
"UY";99,3131665614952;99,3131665614952;4;58,5;3,18825163398693
"VA";98,1188927752087;98,1188927752087;2;74,5;2,96650326797386
"VE";97,1771182222273;97,1771182222273;3;74,6666666666667;2,95100217864924
"VG";97,2526662459806;97,2526662459806;1;81;2,88888888888889
"VN";0;0;1;40;2,425
"YU";64,1820784540817;64,1820784540817;3;65,3333333333333;2,74462962962963
"ZA";97,1771182222273;97,1771182222273;3;74,6666666666667;2,95100217864924
"ZW";98,1188927752087;98,1188927752087;2;74,5;2,96650326797386
