"";"MORc(Top4_3rd, RCA = F)";"RCA";"RCA_Step0";"RCA_Step1";"RCA_Step2"
"NI";54,0617349150834;54,0617349150834;8;2933271,125;3081850,32191189
"NJ";0;0;1;1124650;2770426,42102521
"NL";51,2137687976521;51,2137687976521;18652;3427548,74876689;3068738,79968756
"NO";55,0347357721202;55,0347357721202;7143;3499121,17947641;3092417,35261384
"NP";42,3135402455242;42,3135402455242;39;3669030,1025641;3016652,61970069
"NY";15,9864128636658;15,9864128636658;15;3286282,8;2851928,30401536
"NZ";39,7526659454365;39,7526659454365;3435;3183228,56448326;2998175,85683068
"OA";1,04318766204571;1,04318766204571;2;4387277;2761922,23064899
"OH";22,0823132201112;22,0823132201112;3;2315428,33333333;2883324,8814722
"OM";74,8448802432232;74,8448802432232;15;2483909,26666667;3196899,3058375
"ON";13,8753005292941;13,8753005292941;5;3796693,2;2833062,98306767
"OR";33,6810625540152;33,6810625540152;3;3026003,33333333;2969147,29583442
"PA";41,3621020219758;41,3621020219758;246;2776736,79268293;2995212,5316482
"PE";36,8956775640138;36,8956775640138;30;3387572,8;2976703,16363477
"PF";1,04318766204571;1,04318766204571;3;4387277;2761922,23064899
"PH";25,792886422323;25,792886422323;826;3127605,46973366;2910299,29637838
"PI";0,521593831022855;0,521593831022855;4;2755963,5;2766174,3258371
"PK";22,5516703200976;22,5516703200976;387;3501469,65116279;2894055,86408849
"PL";70,4145223355208;70,4145223355208;17123;3363228,52420721;3186975,56123373
"PM";1,04318766204571;1,04318766204571;1;4387277;2761922,23064899
"PR";11,5747500720203;11,5747500720203;9;2845976,77777778;2833831,98250287
"PS";34,0287917746971;34,0287917746971;3;4113545,66666667;2966312,56570901
"PT";51,8376880529367;51,8376880529367;2227;3090158,77189044;3070258,465065
"PY";66,8405312770076;66,8405312770076;6;3296043,16666667;3172120,26583174
"QA";26,3458065995154;26,3458065995154;271;3728285,57933579;2914900,92429271
"RE";28,2294171077451;28,2294171077451;6;3758258,16666667;2923401,3585279
"RO";63,2614450716422;63,2614450716422;7951;3292336,73625959;3140762,22761931
"RS";35,1367039487665;35,1367039487665;1064;3447986,80357143;2967474,81116937
"RU";76,1287587400015;76,1287587400015;143684;3311003,47984466;3220856,47303231
"RW";0,521593831022855;0,521593831022855;2;2755963,5;2766174,3258371
"SA";53,2042727886278;53,2042727886278;3002;3493114,24650233;3080823,07332143
"SB";1,04318766204571;1,04318766204571;2;4387277;2761922,23064899
"SC";33,1807053310304;33,1807053310304;11;2645629,36363636;2948558,08831318
"SD";22,4300424407931;22,4300424407931;3;3402970,66666667;2880490,15134679
"SE";40,9178263813317;40,9178263813317;21015;3374719,9805853;3002317,75697534
"SG";33,1946553836246;33,1946553836246;6931;3496856,04083105;2957574,57459246
"SH";100;100;1;3566083;3375093,23582906
"SI";58,2818684655244;58,2818684655244;1540;3046730,86948052;3107664,07343847
"SJ";1,04318766204571;1,04318766204571;1;4387277;2761922,23064899
"SK";55,6121020644321;55,6121020644321;1209;2954842,55169562;3092755,12692145
"SL";46,4398835490205;46,4398835490205;23;3020679,7826087;3038539,61548895
"SM";20,8345501296366;20,8345501296366;5;4223038,2;2884556,431685
"SN";33,666662996885;33,666662996885;5;3632454,4;2955697,18410368
"SP";0;0;1;1124650;2770426,42102521
"SR";9,65992054293402;9,65992054293402;11;3126213,18181818;2820757,4821658
"SU";0;0;1;1124650;2770426,42102521
"SV";21,1358072109697;21,1358072109697;11;1996113,90909091;2886977,10988755
"SY";33,666662996885;33,666662996885;10;3632454,4;2955697,18410368
"SZ";52,0478858261521;52,0478858261521;29;3399999,5862069;3080545,88684148
"TC";75;75;4;2955724,75;3223926,5321281
"TD";34,0287917746971;34,0287917746971;3;4113545,66666667;2966312,56570901
"TG";0,521593831022855;0,521593831022855;2;2755963,5;2766174,3258371
"TH";41,3074284691278;41,3074284691278;454;3378314,24889868;3007622,38316836
"TJ";52,4700181889113;52,4700181889113;7;3147401,57142857;3076739,51179325
"TK";1,04318766204571;1,04318766204571;1;4387277;2761922,23064899
"TM";33,1234698301668;33,1234698301668;2;2910817,5;2939774,11169569
"TN";31,9346594605584;31,9346594605584;77;3402782,84415584;2949106,466811
"TO";1,04318766204571;1,04318766204571;1;4387277;2761922,23064899
"TR";41,4489564583507;41,4489564583507;4668;2934925,01456727;3006413,70539089
"TT";33,8944118018298;33,8944118018298;29;3805590,13793103;2965068,82338921
"TV";1,04318766204571;1,04318766204571;1;4387277;2761922,23064899
"TW";27,059210505726;27,059210505726;65240;3865580,58197425;2919249,6034875
"TZ";25,5215938310229;25,5215938310229;4;3366321,75;2917341,02953806
"UA";36,2679895325198;36,2679895325198;1667;3750313,48890222;2977445,95862981
"UG";70,161187962069;70,161187962069;9;2912339,77777778;3182562,97958937
"UK";25,8703642914698;25,8703642914698;51;3319200,47058824;2913477,11952285
"UM";100;100;1;3566083;3375093,23582906
"US";23,7463769760118;23,7463769760118;1844128;3479628,87991398;2900185,66706483
"UT";65,2037519982878;65,2037519982878;1;1434358;3117625,9927424
"UX";1,04318766204571;1,04318766204571;1;4387277;2761922,23064899
"UY";18,180817276686;18,180817276686;68;3368560,39705882;2869788,23629752
"UZ";23,2913752393669;23,2913752393669;44;3665880,54545455;2898626,78245812
"VA";16,5617349150834;16,5617349150834;4;2017733,75;2855100,26636045
"VE";51,5653084562089;51,5653084562089;126;2935797,98412698;3069615,57773107
"VG";7,44651001431535;7,44651001431535;366;2714769,18852459;2807996,69772453
"VN";31,1964019004324;31,1964019004324;485;3581152,60618557;2947704,05507945
"VZ";0;0;1;1124650;2770426,42102521
"WA";0,521593831022855;0,521593831022855;6;2755963,5;2766174,3258371
"WF";0,521593831022855;0,521593831022855;2;2755963,5;2766174,3258371
"WS";45,7390511805579;45,7390511805579;11;3124199,63636364;3042955,64856072
"YE";52,1529447384967;52,1529447384967;9;3694199,77777778;3073965,31762829
"YS";41,5617349150834;41,5617349150834;4;2628092;3006266,97006141
"YU";32,2927073477155;32,2927073477155;38;4127952,57894737;2955555,17965322
"ZA";28,3584204112058;28,3584204112058;3121;3006453,18199295;2925315,06405698
"ZJ";65,2037519982878;65,2037519982878;1;1434358;3117625,9927424
"ZW";0;0;1;1124650;2770426,42102521
