"";"MORc(Surrounding_3rd, RCA = T)";"RCA";"RCA_Step0";"RCA_Step1";"RCA_Step2"
"TT";68,4255486623534;68,4255486623534;2;113;2,86808004592799
"TV";88,1625765920824;88,1625765920824;2;66,5;3,03919816138917
"TW";74,9649031778557;74,9649031778557;3;56;2,86997526283241
"TX";100;100;1;49;2,63265306122449
"TZ";0;0;1;87;2,67816091954023
"UA";66,7265926045952;66,7265926045952;2;113;2,78381038300664
"UD";57,6590075405979;57,6590075405979;1;137;2,63503649635036
"UG";66,7265926045952;66,7265926045952;2;113;2,78381038300664
"UK";0;0;1;87;2,67816091954023
"UM";57,6590075405979;57,6590075405979;1;137;2,63503649635036
"UR";57,6590075405979;57,6590075405979;1;137;2,63503649635036
"US";28,473551224703;28,473551224703;3;99,6666666666667;2,77106580529686
"UT";57,6590075405979;57,6590075405979;1;137;2,63503649635036
"UY";77,9947202415876;77,9947202415876;3;90;2,90447760637624
"UZ";28,829503770299;28,829503770299;2;112;2,6565987079453
"VA";41,6315698445224;41,6315698445224;3;68,6666666666667;2,88514454893765
"VE";66,7265926045952;66,7265926045952;2;113;2,78381038300664
"VG";0;0;1;87;2,67816091954023
"VI";27,7616461335112;27,7616461335112;1;75;3
"VN";41,6315698445224;41,6315698445224;3;68,6666666666667;2,88514454893765
"WA";0;0;1;87;2,67816091954023
"WF";48,566531700028;48,566531700028;2;65,5;2,82771682340648
"WS";35,6512453058733;35,6512453058733;3;83,6666666666667;2,92642817168195
"XK";0;0;1;87;2,67816091954023
"XN";13,8808230667556;13,8808230667556;2;81;2,83908045977011
"YE";78,829503770299;78,829503770299;2;93;2,63384477878743
"YS";0;0;1;87;2,67816091954023
"YU";42,7103268370546;42,7103268370546;2;106;2,81751824817518
"ZA";70,8817583310997;70,8817583310997;3;105;2,88958145383963
"ZJ";97,133063400056;97,133063400056;1;44;2,97727272727273
"ZM";63,8808230667556;63,8808230667556;2;62;2,81632653061224
"ZW";68,4255486623534;68,4255486623534;2;113;2,86808004592799
"ZZ";100;100;1;49;2,63265306122449
