"";"MORc(mat_3rd, RCA = T)";"RCA";"RCA_Step0";"RCA_Step1";"RCA_Step2"
"LR";35,6616400921726;35,6616400921726;4;79;10,7563293758276
"LS";83,8758535496149;83,8758535496149;1;68;12,7647058823529
"LT";71,6570480045023;71,6570480045023;18;73,4444444444444;12,4173653642091
"LU";82,8346986270512;82,8346986270512;9;64,2222222222222;12,5827513339897
"LV";74,5306406965954;74,5306406965954;14;82,1428571428571;12,5598975382921
"LY";73,6520221035536;73,6520221035536;10;73,3;12,4380309145923
"MA";70,111626219139;70,111626219139;11;88,1818181818182;12,3891622269197
"MC";69,7561934075473;69,7561934075473;10;98,1;12,1730385847884
"MD";75,4126478498055;75,4126478498055;14;68,4285714285714;12,5025554466832
"ME";58,9160493394722;58,9160493394722;12;72,8333333333333;11,6564667311893
"MG";79,4231924647598;79,4231924647598;11;87,8181818181818;12,4251125939224
"MH";39,4089179676702;39,4089179676702;9;85,7777777777778;11,3267099983097
"MI";56,9690002341735;56,9690002341735;4;79,75;11,4799980602596
"MK";58,1121665147885;58,1121665147885;13;84,9230769230769;11,9105198960725
"ML";40,3294691657614;40,3294691657614;7;60,1428571428571;11,3722440642924
"MM";67,1570940597482;67,1570940597482;8;68,875;12,4353532838014
"MN";67,0972451320802;67,0972451320802;12;86,5833333333333;12,4032093641174
"MO";49,2756212329453;49,2756212329453;8;93,5;11,8194763234078
"MQ";47,5397003876739;47,5397003876739;4;86,75;11,5010822510823
"MR";89,3000629719561;89,3000629719561;2;47,5;12,5544444444444
"MS";82,9648570433875;82,9648570433875;1;78;13,025641025641
"MT";65,1709981535098;65,1709981535098;14;77,1428571428571;12,2486387863957
"MU";60,8394485971672;60,8394485971672;12;81,9166666666667;12,0074361119481
"MV";23,7494933390745;23,7494933390745;2;79;10,8373806054719
"MW";73,1421152946109;73,1421152946109;7;86,2857142857143;12,1695193193154
"MX";75,607877937764;75,607877937764;20;84,5;12,5433392607379
"MY";38,6437749788315;38,6437749788315;9;57,3333333333333;11,5569709994951
"MZ";68,3295687783953;68,3295687783953;5;100,6;12,0690197503988
"NC";53,5185190172329;53,5185190172329;11;92,7272727272727;11,440509089611
"NE";43,3388155578656;43,3388155578656;10;84,9;11,7361249107549
"NF";70,3002099665935;70,3002099665935;2;109,5;12,5807692307692
"NG";66,0730760835702;66,0730760835702;13;92,7692307692308;12,239327222571
"NH";100;100;1;45;12,2888888888889
"NI";64,4765690588341;64,4765690588341;12;88,4166666666667;12,0097791836123
"NJ";56,8955252184136;56,8955252184136;8;95,875;11,8644617817346
"NL";72,3935964291416;72,3935964291416;14;80;12,5284157371434
"NO";74,9434025136533;74,9434025136533;13;81;12,3554700725063
"NP";67,6647011259951;67,6647011259951;11;72,9090909090909;12,629618779721
"NY";47,0496009285919;47,0496009285919;12;90,5;11,572794649473
"NZ";73,1170787705694;73,1170787705694;14;90,5714285714286;12,4492406617444
"OA";23,4619680446613;23,4619680446613;2;74,5;9,81356837606838
"OH";73,3382874297805;73,3382874297805;13;80,7692307692308;12,3382351703916
"OM";72,1097273489156;72,1097273489156;9;95,2222222222222;12,3203705474669
"ON";48,9470372816801;48,9470372816801;5;88,2;11,3459741692165
"OR";49,2413066847822;49,2413066847822;7;85,7142857142857;11,5005370923073
"OT";75,0304692495195;75,0304692495195;2;110,5;12,1521978021978
"PA";75,8793361396742;75,8793361396742;11;84,0909090909091;12,4155300598763
"PE";74,9909429225002;74,9909429225002;13;83,9230769230769;12,5316402867583
"PF";58,1620406934974;58,1620406934974;7;87,8571428571428;11,6854421063478
"PG";83,6800519998451;83,6800519998451;2;69;12,4240143369176
"PH";37,2363008465656;37,2363008465656;9;70,7777777777778;11,3528836151009
"PI";21,5712191437479;21,5712191437479;2;107;10,0458916083916
"PK";52,5265755912211;52,5265755912211;15;85,2666666666667;12,0215839828379
"PL";78,1432871119236;78,1432871119236;19;73,4736842105263;12,6184046840556
"PM";58,4363051253714;58,4363051253714;3;85,3333333333333;11,0198087616218
"PR";62,5105043134447;62,5105043134447;11;89,7272727272727;12,2477054065951
"PS";64,697595298852;64,697595298852;8;88,125;11,7551252710109
"PT";69,9198349108476;69,9198349108476;19;86,0526315789474;12,4327256843982
"PY";72,9907673232903;72,9907673232903;17;83,8823529411765;12,3993228215465
"QA";63,9725425589524;63,9725425589524;12;79,5833333333333;12,0042999767488
"RE";66,5368032774742;66,5368032774742;12;87,5833333333333;12,2433614958129
"RI";73,2380564926997;73,2380564926997;1;88;12,4886363636364
"RO";75,8798916337956;75,8798916337956;17;71,7058823529412;12,4294187204318
"RS";63,5776521172038;63,5776521172038;15;85,7333333333333;12,1864900546372
"RU";77,0168933430716;77,0168933430716;18;76;12,5107584361164
"RW";34,6484927599419;34,6484927599419;4;77,5;10,9816109095822
"SA";75,235735426947;75,235735426947;14;70,0714285714286;12,6363300332961
"SB";37,5300130043127;37,5300130043127;6;63;11,2066301881727
"SC";70,5988244345264;70,5988244345264;14;86,2142857142857;12,4413974790983
"SD";54,8564958460879;54,8564958460879;13;76,6153846153846;12,2104524399213
"SE";61,038623000256;61,038623000256;11;86,5454545454545;12,0523370616942
"SG";35,5708089411493;35,5708089411493;9;69,4444444444444;11,6817684538777
"SH";60,8659599362863;60,8659599362863;1;46;11,2826086956522
"SI";71,4993027088224;71,4993027088224;16;82,375;12,3921958422256
"SJ";2,76720613689805;2,76720613689805;2;77;10,1513461538462
"SK";75,7035460616277;75,7035460616277;18;74,0555555555556;12,5819935930896
"SL";59,7040211729196;59,7040211729196;12;75,25;12,0500096041908
"SM";76,1759568917353;76,1759568917353;13;71,2307692307692;12,7059423839087
"SN";63,0199681560276;63,0199681560276;12;72,1666666666667;12,3382794747325
"SO";0;0;1;50;11,12
"SP";64,7491914866898;64,7491914866898;3;83;12,4116883116883
"SR";38,9682174994616;38,9682174994616;7;101,714285714286;11,1712968792746
"ST";83,6666578638447;83,6666578638447;1;94;12,3297872340426
"SU";64,5965548146425;64,5965548146425;14;72,0714285714286;12,2918656881874
"SV";65,3452247174708;65,3452247174708;13;84,3846153846154;12,2851881997702
"SX";82,7228167260446;82,7228167260446;5;82,6;12,3420119802586
"SY";77,5528168009321;77,5528168009321;12;86,1666666666667;12,590715369415
"SZ";51,636624657233;51,636624657233;14;78,5;11,7124657412913
"TC";61,62978730879;61,62978730879;12;73,8333333333333;11,8247648646895
"TD";33,2001861050412;33,2001861050412;2;75;10,2326505016722
"TF";73,2380564926997;73,2380564926997;1;88;12,4886363636364
"TG";41,2142367840246;41,2142367840246;8;80,75;11,2328515326835
"TH";66,9951392700976;66,9951392700976;16;76,3125;12,3613584099514
"TJ";75,9369188105056;75,9369188105056;13;72,0769230769231;12,4828934070526
"TK";60,1493294466929;60,1493294466929;4;100,25;11,4627812245299
"TM";67,736260005683;67,736260005683;12;92,8333333333333;12,304429047305
"TN";52,3483647532835;52,3483647532835;10;85,6;12,0314880931695
"TO";63,8399410871683;63,8399410871683;8;76;11,8307990311944
"TR";74,7255143668999;74,7255143668999;14;86,5714285714286;12,3615066621137
"TT";65,2431622587088;65,2431622587088;13;81,9230769230769;12,0795842912151
"TV";22,3677242027114;22,3677242027114;4;68,25;11,1792445054945
"TW";39,894880519072;39,894880519072;10;60,2;11,6982373889547
"TX";73,5976563970717;73,5976563970717;6;69,8333333333333;11,9643970537211
"TZ";67,5597734539205;67,5597734539205;11;87;12,2198493242316
"UA";75,2603149724297;75,2603149724297;15;79,2;12,334853467001
"UC";78,6001259439122;78,6001259439122;1;50;12,82
"UD";74,202350492088;74,202350492088;4;102,5;12,0325313724905
"UE";79,6016921267267;79,6016921267267;3;50;12,830318627451
"UG";69,3325172710544;69,3325172710544;13;88,6923076923077;12,2715622374277
"UK";37,7560163519142;37,7560163519142;9;86,3333333333333;11,2032263852135
"UM";65,7326236082676;65,7326236082676;2;92;11,5217391304348
"UR";70,5992872802489;70,5992872802489;1;138;11,7608695652174
"US";47,5419698698651;47,5419698698651;16;86,375;11,8111398454394
"UT";63,2742698909904;63,2742698909904;3;118,333333333333;11,9166647445508
"UX";5,53441227379609;5,53441227379609;1;104;9,18269230769231
"UY";57,2743565779016;57,2743565779016;14;87,4285714285714;12,1342407433223
"UZ";74,2297495910629;74,2297495910629;15;82,4666666666667;12,4583831930037
"VA";41,2560554742921;41,2560554742921;9;85,6666666666667;11,3824187320076
"VC";88,6924220381167;88,6924220381167;1;55;13,2545454545455
"VE";75,5597898873;75,5597898873;10;90,8;12,2434322173264
"VG";57,7947774770296;57,7947774770296;9;90,4444444444444;11,7716703381704
"VI";46,3282857824853;46,3282857824853;2;82;11,8640769347266
"VN";57,1140154385618;57,1140154385618;17;76,7058823529412;12,1116520640382
"VU";69,9496652650075;69,9496652650075;2;113;12,1953525641026
"VZ";37,6080260136998;37,6080260136998;1;110;10,9090909090909
"WA";48,4281361453675;48,4281361453675;5;92,4;11,0690456050047
"WF";16,3362393500911;16,3362393500911;4;87,75;10,429382585805
"WO";80,8694444094308;80,8694444094308;3;76,3333333333333;12,627537860022
"WS";57,8026233189753;57,8026233189753;10;76,7;11,8887890519118
"XK";22,2025191128687;22,2025191128687;1;87;10,5057471264368
"XN";23,7494933390745;23,7494933390745;2;79;10,8373806054719
"XP";82,9648570433875;82,9648570433875;1;78;13,025641025641
"YE";72,2421712589783;72,2421712589783;13;73,7692307692308;12,2407958030637
"YS";35,1922531826892;35,1922531826892;5;86,8;10,7415450491537
"YU";58,3831950316258;58,3831950316258;8;92,25;11,6979547785599
"ZA";72,8034900415217;72,8034900415217;16;89,6875;12,3577233272176
"ZJ";24,8751742883975;24,8751742883975;2;68,5;11,4737931034483
"ZM";59,8817311173507;59,8817311173507;6;85,8333333333333;11,6595538040082
"ZW";71,7150212963174;71,7150212963174;13;81,1538461538462;12,305409244915
"ZZ";41,3895238155264;41,3895238155264;1;45;10,4444444444444
