"ctry_code";"techn_field_nr";"RCA_Gen";"RCA_AI";"Period";"Label";"Round_general";"Round_AI";"Total_RCA"
"US";30;0,773289108736762;0;"1974-1988";"Thermal processes and apparatus";0;0;0
"US";31;1,19846695805915;0;"1974-1988";"Mechanical elements";1;0;1
"US";32;1,15314598109252;0;"1974-1988";"Transport";1;0;1
"US";33;1,80046402299918;0;"1974-1988";"Furniture, games";1;0;1
"US";34;1,36624923239041;0;"1974-1988";"Other consumer goods";1;0;1
"US";35;1,12776298855267;0;"1974-1988";"Civil engineering";1;0;1
"US";4;0,735668946649889;2,79611650485437;"1974-1988";"Digital communication";0;1;1
"US";5;0,874012134211958;0,322628827483196;"1974-1988";"Basic communication processes";0;0;0
"US";6;0,600834418175826;1,13841886269071;"1974-1988";"Computer technology";0;1;1
"US";7;0,591447141285045;0,762577228596646;"1974-1988";"IT methods for management";0;0;0
"US";8;0,458281392612495;1,04854368932039;"1974-1988";"Semiconductors";0;1;1
"US";9;0,658200651073669;0;"1974-1988";"Optics";0;0;0
"CN";1;0,685766653713562;2,0853982300885;"1989-2003";"Electrical machinery, apparatus, energy";0;1;1
"CN";10;0,721820864306165;1,23592657342657;"1989-2003";"Measurement";0;1;1
"CN";11;1,17810343622852;0;"1989-2003";"Analysis of biological materials";1;0;1
"CN";12;0,564639577355941;0,521580345285525;"1989-2003";"Control";0;0;0
"CN";13;1,05476360557515;2,73557213930348;"1989-2003";"Medical technology";1;1;2
"CN";14;1,83889586707937;0;"1989-2003";"Organic fine chemistry";1;0;1
"CN";15;2,94133128480133;4,36388888888889;"1989-2003";"Biotechnology";1;1;2
"CN";16;6,31646248625744;0;"1989-2003";"Pharmaceuticals";1;0;1
"CN";17;1,10280893077303;0;"1989-2003";"Macromolecular chemistry, polymers";1;0;1
"CN";18;6,06633844365419;0;"1989-2003";"Food chemistry";1;0;1
"CN";19;3,48440690437216;7,14090909090909;"1989-2003";"Basic materials chemistry ";1;1;2
"CN";2;0,380268770401573;0,464792899408284;"1989-2003";"Audio-visual technology";0;0;0
"CN";20;2,311864483958;3,74047619047619;"1989-2003";"Materials, metallurgy";1;1;2
"CN";21;0,910087739150148;0;"1989-2003";"Surface technology, coating";0;0;0
"CN";22;4,01071253038206;0;"1989-2003";"Micro-structural and nano-technology";1;0;1
"CN";23;1,17783301154082;0;"1989-2003";"Chemical engineering";1;0;1
"CN";24;1,2796677993957;0;"1989-2003";"Environmental technology";1;0;1
"CN";25;0,35483409446002;0;"1989-2003";"Handling";0;0;0
"CN";26;0,720724238956466;2,4546875;"1989-2003";"Machine tools";0;1;1
"CN";27;0,717130495246182;0;"1989-2003";"Engines, pumps, turbines";0;0;0
"CN";28;0,710934053193697;0;"1989-2003";"Textile and paper machines";0;0;0
"CN";29;0,897011864964569;9,01393442622951;"1989-2003";"Other special machines";0;1;1
"CN";3;0,712629371488182;0,707657657657658;"1989-2003";"Telecommunications";0;0;0
"CN";30;1,16868600829449;1,78522727272727;"1989-2003";"Thermal processes and apparatus";1;1;2
"CN";31;0,510962356267243;0;"1989-2003";"Mechanical elements";0;0;0
"CN";32;0,491785203436893;0,467559523809524;"1989-2003";"Transport";0;0;0
"CN";33;0,577569157892476;0;"1989-2003";"Furniture, games";0;0;0
"CN";34;1,19232626904652;2,34477611940299;"1989-2003";"Other consumer goods";1;1;2
"CN";35;0,864215675080925;2,96415094339623;"1989-2003";"Civil engineering";0;1;1
"CN";4;0,984851529862948;0;"1989-2003";"Digital communication";0;0;0
"CN";5;0,392716245582749;4,42535211267606;"1989-2003";"Basic communication processes";0;1;1
"CN";6;0,899826124747491;0,879362375273789;"1989-2003";"Computer technology";0;0;0
"CN";7;0,0695859323962138;0;"1989-2003";"IT methods for management";0;0;0
"CN";8;0,35026355104623;0;"1989-2003";"Semiconductors";0;0;0
"CN";9;0,318761513447623;0;"1989-2003";"Optics";0;0;0
"JP";1;1,13959915307765;0,983446465497994;"1989-2003";"Electrical machinery, apparatus, energy";1;0;1
"JP";10;1,01473272208908;0,890460341356356;"1989-2003";"Measurement";1;0;1
"JP";11;0,602949470318656;0,61738583667374;"1989-2003";"Analysis of biological materials";0;0;0
"JP";12;1,03949065696983;0,939607129917804;"1989-2003";"Control";1;0;1
"JP";13;0,583300717517203;0,58052698075292;"1989-2003";"Medical technology";0;0;0
"JP";14;0,666677426604839;1,85215751002122;"1989-2003";"Organic fine chemistry";0;1;1
