"";"Relatedness_Association";"Relatedness_Jaccard";"Relatedness_Prob";"Relatedness_Cosine";"Period"
"MQ";NA;NA;NA;NA;"3rd"
"MR";NA;NA;NA;NA;"3rd"
"MS";0;0;0;0;"3rd"
"MT";36;35;36;35;"3rd"
"MU";33;31;33;31;"3rd"
"MV";NA;NA;NA;NA;"3rd"
"MW";2;2;2;2;"3rd"
"MX";63;63;63;62;"3rd"
"MY";19;21;19;21;"3rd"
"MZ";0;0;0;0;"3rd"
"NC";30;29;30;30;"3rd"
"NE";20;21;20;21;"3rd"
"NF";NA;NA;NA;NA;"3rd"
"NG";34;33;34;33;"3rd"
"NH";NA;NA;NA;NA;"3rd"
"NI";20;17;21;18;"3rd"
"NJ";NA;NA;NA;NA;"3rd"
"NL";33;29;33;29;"3rd"
"NO";31;29;31;29;"3rd"
"NP";28;31;28;32;"3rd"
"NY";14;12;14;12;"3rd"
"NZ";33;29;33;29;"3rd"
"OA";NA;NA;NA;NA;"3rd"
"OH";0;0;0;0;"3rd"
"OM";24;24;24;24;"3rd"
"ON";0;0;0;0;"3rd"
"OR";NA;NA;NA;NA;"3rd"
"OT";NA;NA;NA;NA;"3rd"
"PA";32;29;32;29;"3rd"
"PE";39;37;39;37;"3rd"
"PF";10;9;10;10;"3rd"
"PG";NA;NA;NA;NA;"3rd"
"PH";31;29;31;29;"3rd"
"PI";NA;NA;NA;NA;"3rd"
"PK";49;48;49;47;"3rd"
"PL";60;60;60;60;"3rd"
"PM";NA;NA;NA;NA;"3rd"
"PO";NA;NA;NA;NA;"3rd"
"PR";34;32;34;33;"3rd"
"PS";9;8;8;8;"3rd"
"PT";56;54;56;54;"3rd"
"PY";34;31;34;32;"3rd"
"QA";23;22;23;22;"3rd"
"RE";17;16;17;16;"3rd"
"RI";0;0;0;0;"3rd"
"RO";60;63;60;62;"3rd"
"RS";37;35;37;36;"3rd"
"RU";47;45;47;45;"3rd"
"RW";0;0;0;0;"3rd"
"SA";53;56;53;55;"3rd"
"SB";2;3;2;2;"3rd"
"SC";32;30;32;30;"3rd"
"SD";26;24;26;24;"3rd"
"SE";39;36;39;36;"3rd"
"SG";28;28;28;28;"3rd"
"SH";NA;NA;NA;NA;"3rd"
"SI";47;46;47;47;"3rd"
"SJ";NA;NA;NA;NA;"3rd"
"SK";52;51;52;51;"3rd"
"SL";28;29;28;29;"3rd"
"SM";41;42;41;42;"3rd"
"SN";44;49;44;48;"3rd"
"SO";0;0;0;0;"3rd"
"SP";NA;NA;NA;NA;"3rd"
"SR";6;6;6;6;"3rd"
"ST";NA;NA;NA;NA;"3rd"
"SU";0;0;0;0;"3rd"
"SV";17;15;16;16;"3rd"
"SX";8;8;8;8;"3rd"
