"";"Relatedness_Association";"Relatedness_Jaccard";"Relatedness_Prob";"Relatedness_Cosine";"Period"
"NO1";33;30;34;30;"2nd"
"NP";4;4;4;4;"2nd"
"NR";0;0;0;0;"2nd"
"NU";0;0;0;0;"2nd"
"NZ1";38;35;38;36;"2nd"
"OA";NA;NA;NA;NA;"2nd"
"OM";10;13;10;13;"2nd"
"PA1";35;36;35;37;"2nd"
"PE1";35;34;35;35;"2nd"
"PF";13;14;13;14;"2nd"
"PG";0;0;0;0;"2nd"
"PH1";31;28;31;29;"2nd"
"PK1";33;32;33;32;"2nd"
"PL1";46;47;46;47;"2nd"
"PN";0;0;0;0;"2nd"
"PR1";34;35;34;34;"2nd"
"PT1";55;53;55;54;"2nd"
"PW";NA;NA;NA;NA;"2nd"
"PY1";25;25;25;25;"2nd"
"QA1";20;18;20;18;"2nd"
"RE";1;1;1;1;"2nd"
"RO1";51;56;51;56;"2nd"
"RS";0;0;0;0;"2nd"
"RU1";40;39;40;40;"2nd"
"RW";0;0;0;0;"2nd"
"SA1";41;43;41;43;"2nd"
"SB";0;0;0;0;"2nd"
"SC1";14;11;14;12;"2nd"
"SD1";4;4;4;4;"2nd"
"SE1";54;53;54;52;"2nd"
"SF";NA;NA;NA;NA;"2nd"
"SG1";31;28;31;27;"2nd"
"SH";3;2;3;2;"2nd"
"SI1";51;49;51;50;"2nd"
"SK1";52;53;52;54;"2nd"
"SL1";23;25;23;26;"2nd"
"SM1";19;17;20;17;"2nd"
"SN1";3;3;3;3;"2nd"
"SO";NA;NA;NA;NA;"2nd"
"SR1";1;1;1;1;"2nd"
"ST1";40;42;40;43;"2nd"
"SU1";45;45;45;46;"2nd"
"SV1";48;46;48;46;"2nd"
"SY1";34;35;34;35;"2nd"
"SZ1";10;11;10;11;"2nd"
"TC";33;33;33;34;"2nd"
"TD1";NA;NA;NA;NA;"2nd"
"TG";0;0;0;0;"2nd"
"TH1";53;50;53;50;"2nd"
"TJ";39;38;39;40;"2nd"
"TK";NA;NA;NA;NA;"2nd"
"TM";53;57;53;57;"2nd"
"TN1";38;38;38;38;"2nd"
"TO";1;1;1;1;"2nd"
"TR1";41;40;41;40;"2nd"
"TT1";23;24;23;24;"2nd"
"TV";6;5;6;5;"2nd"
"TW1";21;20;21;20;"2nd"
"TZ1";14;10;14;12;"2nd"
"U ";NA;NA;NA;NA;"2nd"
"UA1";40;38;40;39;"2nd"
"UG1";13;12;13;12;"2nd"
"UK1";0;0;0;0;"2nd"
"UN";NA;NA;NA;NA;"2nd"
"US1";49;49;49;49;"2nd"
"UY1";34;30;34;31;"2nd"
"UZ";42;42;42;42;"2nd"
"VA1";10;14;10;14;"2nd"
"VC";NA;NA;NA;NA;"2nd"
"VE1";29;29;29;30;"2nd"
"VG1";27;24;28;24;"2nd"
"VI";7;7;7;6;"2nd"
"VN1";34;31;34;31;"2nd"
"VU";1;1;1;1;"2nd"
"WO";1;1;1;1;"2nd"
"WS1";0;0;0;0;"2nd"
"WV";0;0;0;0;"2nd"
"YD";NA;NA;NA;NA;"2nd"
"YE1";9;8;9;8;"2nd"
"YU1";42;42;42;42;"2nd"
"ZA1";41;37;41;38;"2nd"
"ZM";NA;NA;NA;NA;"2nd"
"ZR1";0;0;0;0;"2nd"
"ZW1";17;16;17;16;"2nd"
"AB";NA;NA;NA;NA;"3rd"
"AD2";49;50;49;50;"3rd"
"AE2";46;47;46;46;"3rd"
"AF1";0;0;0;0;"3rd"
"AG2";15;16;15;16;"3rd"
"AI2";12;10;12;11;"3rd"
"AL2";30;28;30;28;"3rd"
"AM2";42;44;42;44;"3rd"
"AN2";27;26;27;26;"3rd"
"AO1";11;13;11;14;"3rd"
"AP1";0;0;0;0;"3rd"
"AR2";40;37;40;37;"3rd"
"AS2";NA;NA;NA;NA;"3rd"
"AT2";51;49;51;49;"3rd"
"AU2";40;40;41;40;"3rd"
"AW1";22;22;22;22;"3rd"
"AX";NA;NA;NA;NA;"3rd"
"AZ2";21;19;21;20;"3rd"
"BA2";30;27;30;28;"3rd"
"BB2";19;15;19;15;"3rd"
"BC";NA;NA;NA;NA;"3rd"
"BD2";31;31;31;31;"3rd"
"BE2";43;40;43;40;"3rd"
"BF1";0;0;0;0;"3rd"
"BG2";36;34;36;34;"3rd"
"BH2";44;43;44;43;"3rd"
"BI2";4;6;4;6;"3rd"
"BJ2";7;7;7;7;"3rd"
"BL";0;0;0;0;"3rd"
"BM2";42;39;42;40;"3rd"
"BN2";30;30;30;29;"3rd"
"BO2";21;21;21;22;"3rd"
"BQ";0;0;0;0;"3rd"
"BR2";58;57;59;58;"3rd"
"BS2";25;23;25;24;"3rd"
"BT1";1;0;1;0;"3rd"
"BU2";0;0;0;0;"3rd"
"BW1";1;1;1;1;"3rd"
"BY2";48;48;48;47;"3rd"
"BZ2";30;29;30;29;"3rd"
"CA2";40;36;40;36;"3rd"
"CD1";15;14;15;14;"3rd"
"CF1";NA;NA;NA;NA;"3rd"
"CG1";12;14;12;13;"3rd"
"CH2";43;43;43;44;"3rd"
"CI2";20;18;20;19;"3rd"
"CK1";NA;NA;NA;NA;"3rd"
"CL2";57;57;57;57;"3rd"
"CM2";21;20;21;21;"3rd"
"CN2";58;61;58;60;"3rd"
"CO2";39;37;39;37;"3rd"
"CR2";24;21;24;21;"3rd"
"CS2";24;25;24;26;"3rd"
"CT";NA;NA;NA;NA;"3rd"
"CU2";34;35;34;35;"3rd"
"CV1";17;16;17;16;"3rd"
"CW";2;2;2;2;"3rd"
"CX";NA;NA;NA;NA;"3rd"
"CY2";37;34;37;34;"3rd"
"CZ2";52;53;52;53;"3rd"
"DD2";38;37;38;37;"3rd"
"DE2";31;31;31;32;"3rd"
"DJ1";NA;NA;NA;NA;"3rd"
"DK2";34;32;34;32;"3rd"
"DM1";0;0;0;0;"3rd"
"DO2";21;19;21;20;"3rd"
"DZ2";29;30;29;31;"3rd"
"EA";NA;NA;NA;NA;"3rd"
"EC2";29;28;29;29;"3rd"
"EE1";43;43;43;43;"3rd"
"EG2";35;32;35;32;"3rd"
"EP1";0;0;0;0;"3rd"
"ER";0;0;0;0;"3rd"
"ES2";53;53;53;53;"3rd"
"ET2";14;14;14;14;"3rd"
"FI2";33;34;33;34;"3rd"
"FJ1";4;5;4;5;"3rd"
"FK";NA;NA;NA;NA;"3rd"
"FL";1;1;1;1;"3rd"
"FM";0;0;0;0;"3rd"
"FO1";21;19;21;19;"3rd"
"FR2";32;30;32;31;"3rd"
"GA2";22;24;22;24;"3rd"
"GB2";47;44;48;44;"3rd"
"GD1";4;3;4;3;"3rd"
"GE1";37;33;37;33;"3rd"
"GF1";NA;NA;NA;NA;"3rd"
"GG";0;0;0;0;"3rd"
"GH2";23;23;23;23;"3rd"
"GI1";16;14;16;14;"3rd"
"GL2";3;3;3;3;"3rd"
"GM1";NA;NA;NA;NA;"3rd"
"GN2";8;7;8;7;"3rd"
"GP1";14;14;14;14;"3rd"
"GQ1";NA;NA;NA;NA;"3rd"
"GR2";44;42;44;41;"3rd"
"GT2";32;29;32;29;"3rd"
"GU1";0;0;0;0;"3rd"
"GY2";NA;NA;NA;NA;"3rd"
"HA";NA;NA;NA;NA;"3rd"
"HK2";43;40;43;40;"3rd"
"HN2";13;12;13;12;"3rd"
"HR2";46;45;46;45;"3rd"
"HT2";0;0;0;0;"3rd"
"HU2";45;43;45;44;"3rd"
"IB1";NA;NA;NA;NA;"3rd"
"ID2";55;54;55;54;"3rd"
"IE2";30;27;30;27;"3rd"
"IL2";22;19;23;19;"3rd"
"IM";17;18;17;18;"3rd"
"IN2";29;30;29;31;"3rd"
"IO1";0;0;0;0;"3rd"
"IQ2";26;27;26;27;"3rd"
"IR2";53;56;53;55;"3rd"
"IS2";21;17;21;17;"3rd"
"IT2";46;43;46;43;"3rd"
"JE1";33;32;33;31;"3rd"
"JM2";39;39;39;40;"3rd"
"JO2";29;29;29;29;"3rd"
"JP2";46;47;46;46;"3rd"
"KE2";20;20;20;19;"3rd"
"KG1";37;39;37;38;"3rd"
"KH1";26;29;26;29;"3rd"
"KI2";NA;NA;NA;NA;"3rd"
"KM1";NA;NA;NA;NA;"3rd"
"KN2";21;23;21;22;"3rd"
"KP2";27;24;27;24;"3rd"
"KR2";38;36;38;36;"3rd"
"KS";NA;NA;NA;NA;"3rd"
"KW2";36;36;37;35;"3rd"
"KY2";11;9;11;9;"3rd"
"KZ1";26;26;25;26;"3rd"
"LA2";11;9;11;10;"3rd"
"LB2";39;37;39;36;"3rd"
"LC1";NA;NA;NA;NA;"3rd"
"LI2";28;27;28;28;"3rd"
"LK2";36;33;36;33;"3rd"
"LN";NA;NA;NA;NA;"3rd"
"LR2";0;0;0;0;"3rd"
"LS1";NA;NA;NA;NA;"3rd"
"LT2";44;45;44;46;"3rd"
"LU2";32;29;32;28;"3rd"
"LV1";54;55;54;55;"3rd"
"LY2";15;16;15;16;"3rd"
"MA2";32;30;32;31;"3rd"
"MC2";24;22;24;23;"3rd"
