"";"X1960";"X1961";"X1962";"X1963";"X1964";"X1965";"X1966";"X1967";"X1968";"X1969";"X1970";"X1971";"X1972";"X1973";"X1974";"X1975";"X1976";"X1977";"X1978";"X1979";"X1980";"X1981";"X1982";"X1983";"X1984";"X1985";"X1986";"X1987";"X1988";"X1989";"X1990";"X1991";"X1992";"X1993";"X1994";"X1995";"X1996";"X1997";"X1998";"X1999";"X2000";"X2001";"X2002";"X2003";"X2004";"X2005";"X2006";"X2007";"X2008";"X2009";"X2010";"X2011";"X2012";"X2013";"X2014";"X2015";"X2016";"X2017";"X2018"
"122";"C21B-0";"C21B-0";"C21B-0";"C21B-0";"C21B-0";"C21B-0";"C21B-0";"C21B-0";"C21B-0";"C21B-0";"C21B-0";"C21B-0";"C21B-0";"C21B-0";"C21B-0";"C21B-0";"C21B-0";"C21B-0";"C21B-0";"C21B-0";"C21B-0";"C21B-0";"C21B-0";"C21B-0";"C21B-0";"C21B-0";"C21B-0";"C21B-0";"C21B-10";"C21B-6";"C21B-23";"C21B-12";"C21B-5";"C21B-14";"C21B-0";"C21B-0";"C21B-0";"C21B-11";"C21B-0";"C21B-0";"C21B-0";"C21B-0";"C21B-0";"C21B-0";"C21B-0";"C21B-0";"C21B-0";"C21B-0";"C21B-0";"C21B-0";"C21B-0";"C21B-0";"C21B-3";"C21B-0";"C21B-0";"C21B-0";"C21B-0";"C21B-0";"C21B-0"
"123";"C21C-0";"C21C-0";"C21C-0";"C21C-0";"C21C-0";"C21C-0";"C21C-0";"C21C-0";"C21C-0";"C21C-0";"C21C-0";"C21C-0";"C21C-0";"C21C-0";"C21C-0";"C21C-0";"C21C-0";"C21C-0";"C21C-0";"C21C-0";"C21C-0";"C21C-0";"C21C-0";"C21C-0";"C21C-0";"C21C-0";"C21C-0";"C21C-0";"C21C-6";"C21C-0";"C21C-0";"C21C-8";"C21C-7";"C21C-31";"C21C-10";"C21C-25";"C21C-1";"C21C-0";"C21C-16";"C21C-0";"C21C-0";"C21C-0";"C21C-0";"C21C-0";"C21C-0";"C21C-0";"C21C-0";"C21C-0";"C21C-0";"C21C-0";"C21C-0";"C21C-0";"C21C-0";"C21C-2";"C21C-0";"C21C-0";"C21C-2";"C21C-0";"C21C-0"
"124";"C21D-0";"C21D-0";"C21D-0";"C21D-0";"C21D-0";"C21D-0";"C21D-0";"C21D-0";"C21D-0";"C21D-0";"C21D-0";"C21D-0";"C21D-0";"C21D-0";"C21D-0";"C21D-0";"C21D-0";"C21D-0";"C21D-0";"C21D-0";"C21D-0";"C21D-0";"C21D-0";"C21D-0";"C21D-0";"C21D-0";"C21D-0";"C21D-0";"C21D-0";"C21D-0";"C21D-8";"C21D-4";"C21D-0";"C21D-2";"C21D-3";"C21D-0";"C21D-6";"C21D-0";"C21D-0";"C21D-0";"C21D-0";"C21D-0";"C21D-0";"C21D-0";"C21D-3";"C21D-0";"C21D-0";"C21D-0";"C21D-2";"C21D-0";"C21D-0";"C21D-0";"C21D-0";"C21D-0";"C21D-0";"C21D-0";"C21D-0";"C21D-0";"C21D-0"
"125";"C22B-0";"C22B-0";"C22B-0";"C22B-0";"C22B-0";"C22B-0";"C22B-0";"C22B-0";"C22B-0";"C22B-0";"C22B-0";"C22B-0";"C22B-0";"C22B-0";"C22B-0";"C22B-0";"C22B-0";"C22B-0";"C22B-0";"C22B-0";"C22B-0";"C22B-0";"C22B-0";"C22B-0";"C22B-0";"C22B-0";"C22B-0";"C22B-0";"C22B-0";"C22B-0";"C22B-12";"C22B-2";"C22B-0";"C22B-0";"C22B-0";"C22B-0";"C22B-2";"C22B-0";"C22B-0";"C22B-0";"C22B-0";"C22B-0";"C22B-0";"C22B-0";"C22B-0";"C22B-0";"C22B-0";"C22B-0";"C22B-0";"C22B-0";"C22B-0";"C22B-0";"C22B-0";"C22B-0";"C22B-0";"C22B-0";"C22B-0";"C22B-0";"C22B-0"
"126";"C22C-0";"C22C-0";"C22C-0";"C22C-0";"C22C-0";"C22C-0";"C22C-0";"C22C-0";"C22C-0";"C22C-0";"C22C-0";"C22C-0";"C22C-0";"C22C-0";"C22C-0";"C22C-0";"C22C-0";"C22C-0";"C22C-0";"C22C-0";"C22C-0";"C22C-0";"C22C-0";"C22C-0";"C22C-0";"C22C-0";"C22C-0";"C22C-0";"C22C-2";"C22C-0";"C22C-0";"C22C-0";"C22C-0";"C22C-0";"C22C-0";"C22C-0";"C22C-0";"C22C-0";"C22C-0";"C22C-0";"C22C-0";"C22C-0";"C22C-0";"C22C-0";"C22C-6";"C22C-0";"C22C-0";"C22C-0";"C22C-4";"C22C-0";"C22C-0";"C22C-0";"C22C-0";"C22C-0";"C22C-0";"C22C-0";"C22C-0";"C22C-0";"C22C-0"
"127";"C23C-0";"C23C-0";"C23C-0";"C23C-0";"C23C-0";"C23C-0";"C23C-0";"C23C-0";"C23C-0";"C23C-0";"C23C-0";"C23C-0";"C23C-0";"C23C-0";"C23C-0";"C23C-0";"C23C-0";"C23C-0";"C23C-0";"C23C-0";"C23C-0";"C23C-0";"C23C-0";"C23C-0";"C23C-0";"C23C-0";"C23C-0";"C23C-0";"C23C-0";"C23C-0";"C23C-0";"C23C-0";"C23C-2";"C23C-0";"C23C-0";"C23C-0";"C23C-0";"C23C-24";"C23C-0";"C23C-0";"C23C-0";"C23C-2";"C23C-0";"C23C-0";"C23C-0";"C23C-0";"C23C-0";"C23C-0";"C23C-0";"C23C-0";"C23C-0";"C23C-0";"C23C-0";"C23C-0";"C23C-0";"C23C-0";"C23C-0";"C23C-0";"C23C-0"
"128";"C23F-0";"C23F-0";"C23F-0";"C23F-0";"C23F-0";"C23F-0";"C23F-0";"C23F-0";"C23F-0";"C23F-0";"C23F-0";"C23F-0";"C23F-0";"C23F-0";"C23F-0";"C23F-0";"C23F-0";"C23F-0";"C23F-0";"C23F-0";"C23F-0";"C23F-0";"C23F-0";"C23F-0";"C23F-0";"C23F-0";"C23F-0";"C23F-0";"C23F-0";"C23F-0";"C23F-0";"C23F-0";"C23F-0";"C23F-0";"C23F-0";"C23F-0";"C23F-4";"C23F-7";"C23F-0";"C23F-0";"C23F-0";"C23F-0";"C23F-0";"C23F-0";"C23F-0";"C23F-0";"C23F-0";"C23F-0";"C23F-0";"C23F-0";"C23F-0";"C23F-0";"C23F-0";"C23F-0";"C23F-0";"C23F-0";"C23F-0";"C23F-0";"C23F-0"
"129";"C25D-0";"C25D-0";"C25D-0";"C25D-0";"C25D-0";"C25D-0";"C25D-0";"C25D-0";"C25D-0";"C25D-0";"C25D-0";"C25D-0";"C25D-0";"C25D-0";"C25D-0";"C25D-0";"C25D-0";"C25D-0";"C25D-0";"C25D-0";"C25D-0";"C25D-0";"C25D-0";"C25D-0";"C25D-0";"C25D-0";"C25D-0";"C25D-0";"C25D-0";"C25D-0";"C25D-0";"C25D-0";"C25D-0";"C25D-0";"C25D-0";"C25D-4";"C25D-0";"C25D-0";"C25D-0";"C25D-0";"C25D-1";"C25D-0";"C25D-0";"C25D-0";"C25D-0";"C25D-0";"C25D-0";"C25D-0";"C25D-0";"C25D-0";"C25D-0";"C25D-0";"C25D-0";"C25D-0";"C25D-0";"C25D-0";"C25D-0";"C25D-0";"C25D-0"
"130";"C30B-0";"C30B-0";"C30B-0";"C30B-0";"C30B-0";"C30B-0";"C30B-0";"C30B-0";"C30B-0";"C30B-0";"C30B-0";"C30B-0";"C30B-0";"C30B-0";"C30B-0";"C30B-0";"C30B-0";"C30B-0";"C30B-0";"C30B-0";"C30B-0";"C30B-0";"C30B-0";"C30B-0";"C30B-0";"C30B-0";"C30B-0";"C30B-0";"C30B-0";"C30B-0";"C30B-0";"C30B-0";"C30B-1";"C30B-8";"C30B-0";"C30B-0";"C30B-0";"C30B-0";"C30B-0";"C30B-0";"C30B-0";"C30B-0";"C30B-0";"C30B-0";"C30B-0";"C30B-0";"C30B-0";"C30B-0";"C30B-0";"C30B-0";"C30B-0";"C30B-0";"C30B-0";"C30B-0";"C30B-0";"C30B-0";"C30B-0";"C30B-0";"C30B-0"
"131";"C40B-0";"C40B-0";"C40B-0";"C40B-0";"C40B-0";"C40B-0";"C40B-0";"C40B-0";"C40B-0";"C40B-0";"C40B-0";"C40B-0";"C40B-0";"C40B-0";"C40B-0";"C40B-0";"C40B-0";"C40B-0";"C40B-0";"C40B-0";"C40B-0";"C40B-0";"C40B-0";"C40B-0";"C40B-0";"C40B-0";"C40B-0";"C40B-0";"C40B-0";"C40B-0";"C40B-0";"C40B-0";"C40B-0";"C40B-0";"C40B-0";"C40B-0";"C40B-0";"C40B-0";"C40B-0";"C40B-0";"C40B-0";"C40B-0";"C40B-0";"C40B-0";"C40B-0";"C40B-0";"C40B-2";"C40B-3";"C40B-0";"C40B-0";"C40B-0";"C40B-0";"C40B-0";"C40B-0";"C40B-0";"C40B-0";"C40B-0";"C40B-0";"C40B-0"
"132";"D01B-0";"D01B-0";"D01B-0";"D01B-0";"D01B-0";"D01B-0";"D01B-0";"D01B-0";"D01B-0";"D01B-0";"D01B-0";"D01B-0";"D01B-0";"D01B-0";"D01B-0";"D01B-0";"D01B-0";"D01B-0";"D01B-0";"D01B-0";"D01B-0";"D01B-0";"D01B-0";"D01B-0";"D01B-0";"D01B-0";"D01B-0";"D01B-0";"D01B-0";"D01B-2";"D01B-0";"D01B-0";"D01B-0";"D01B-0";"D01B-0";"D01B-0";"D01B-0";"D01B-0";"D01B-0";"D01B-0";"D01B-0";"D01B-0";"D01B-0";"D01B-0";"D01B-0";"D01B-0";"D01B-0";"D01B-0";"D01B-0";"D01B-0";"D01B-0";"D01B-0";"D01B-0";"D01B-0";"D01B-0";"D01B-0";"D01B-0";"D01B-0";"D01B-0"
