"";"X1960";"X1961";"X1962";"X1963";"X1964";"X1965";"X1966";"X1967";"X1968";"X1969";"X1970";"X1971";"X1972";"X1973";"X1974";"X1975";"X1976";"X1977";"X1978";"X1979";"X1980";"X1981";"X1982";"X1983";"X1984";"X1985";"X1986";"X1987";"X1988";"X1989";"X1990";"X1991";"X1992";"X1993";"X1994";"X1995";"X1996";"X1997";"X1998";"X1999";"X2000";"X2001";"X2002";"X2003";"X2004";"X2005";"X2006";"X2007";"X2008";"X2009";"X2010";"X2011";"X2012";"X2013";"X2014";"X2015";"X2016";"X2017";"X2018"
"108";"C12Q-0";"C12Q-0";"C12Q-0";"C12Q-0";"C12Q-0";"C12Q-0";"C12Q-0";"C12Q-0";"C12Q-0";"C12Q-0";"C12Q-0";"C12Q-0";"C12Q-0";"C12Q-0";"C12Q-0";"C12Q-0";"C12Q-0";"C12Q-0";"C12Q-0";"C12Q-0";"C12Q-0";"C12Q-0";"C12Q-0";"C12Q-0";"C12Q-0";"C12Q-0";"C12Q-0";"C12Q-0";"C12Q-0";"C12Q-0";"C12Q-0";"C12Q-0";"C12Q-0";"C12Q-0";"C12Q-7";"C12Q-6";"C12Q-2";"C12Q-0";"C12Q-3";"C12Q-7";"C12Q-11";"C12Q-14";"C12Q-5";"C12Q-4";"C12Q-4";"C12Q-16";"C12Q-1";"C12Q-1";"C12Q-8";"C12Q-7";"C12Q-1";"C12Q-1";"C12Q-1";"C12Q-0";"C12Q-0";"C12Q-8";"C12Q-20";"C12Q-21";"C12Q-21"
"109";"C21B-0";"C21B-0";"C21B-0";"C21B-0";"C21B-0";"C21B-0";"C21B-0";"C21B-0";"C21B-0";"C21B-0";"C21B-0";"C21B-0";"C21B-0";"C21B-0";"C21B-0";"C21B-0";"C21B-0";"C21B-0";"C21B-0";"C21B-0";"C21B-0";"C21B-0";"C21B-0";"C21B-0";"C21B-0";"C21B-0";"C21B-0";"C21B-0";"C21B-0";"C21B-0";"C21B-0";"C21B-0";"C21B-0";"C21B-0";"C21B-0";"C21B-0";"C21B-0";"C21B-0";"C21B-0";"C21B-0";"C21B-0";"C21B-0";"C21B-0";"C21B-1";"C21B-0";"C21B-0";"C21B-0";"C21B-0";"C21B-0";"C21B-0";"C21B-0";"C21B-0";"C21B-0";"C21B-0";"C21B-0";"C21B-0";"C21B-0";"C21B-0";"C21B-0"
"110";"C21C-0";"C21C-0";"C21C-0";"C21C-0";"C21C-0";"C21C-0";"C21C-0";"C21C-0";"C21C-0";"C21C-0";"C21C-0";"C21C-0";"C21C-0";"C21C-0";"C21C-0";"C21C-0";"C21C-0";"C21C-0";"C21C-0";"C21C-0";"C21C-0";"C21C-0";"C21C-0";"C21C-0";"C21C-0";"C21C-0";"C21C-0";"C21C-0";"C21C-0";"C21C-0";"C21C-0";"C21C-6";"C21C-0";"C21C-0";"C21C-0";"C21C-0";"C21C-0";"C21C-0";"C21C-0";"C21C-0";"C21C-0";"C21C-0";"C21C-0";"C21C-0";"C21C-0";"C21C-0";"C21C-0";"C21C-0";"C21C-0";"C21C-0";"C21C-0";"C21C-0";"C21C-0";"C21C-0";"C21C-0";"C21C-0";"C21C-0";"C21C-0";"C21C-0"
"111";"C21D-0";"C21D-0";"C21D-0";"C21D-0";"C21D-0";"C21D-0";"C21D-0";"C21D-0";"C21D-0";"C21D-0";"C21D-0";"C21D-0";"C21D-0";"C21D-0";"C21D-0";"C21D-0";"C21D-0";"C21D-0";"C21D-0";"C21D-0";"C21D-0";"C21D-0";"C21D-0";"C21D-0";"C21D-0";"C21D-0";"C21D-0";"C21D-0";"C21D-0";"C21D-0";"C21D-0";"C21D-0";"C21D-0";"C21D-0";"C21D-0";"C21D-10";"C21D-0";"C21D-0";"C21D-0";"C21D-0";"C21D-0";"C21D-0";"C21D-0";"C21D-0";"C21D-0";"C21D-0";"C21D-0";"C21D-0";"C21D-0";"C21D-0";"C21D-0";"C21D-0";"C21D-0";"C21D-0";"C21D-0";"C21D-0";"C21D-0";"C21D-0";"C21D-0"
"112";"C22F-0";"C22F-0";"C22F-0";"C22F-0";"C22F-0";"C22F-0";"C22F-0";"C22F-0";"C22F-0";"C22F-0";"C22F-0";"C22F-0";"C22F-0";"C22F-0";"C22F-0";"C22F-0";"C22F-0";"C22F-0";"C22F-0";"C22F-0";"C22F-0";"C22F-0";"C22F-0";"C22F-0";"C22F-0";"C22F-0";"C22F-0";"C22F-0";"C22F-0";"C22F-0";"C22F-0";"C22F-0";"C22F-0";"C22F-0";"C22F-0";"C22F-0";"C22F-0";"C22F-0";"C22F-0";"C22F-0";"C22F-0";"C22F-0";"C22F-0";"C22F-0";"C22F-0";"C22F-0";"C22F-0";"C22F-0";"C22F-0";"C22F-0";"C22F-0";"C22F-0";"C22F-0";"C22F-0";"C22F-2";"C22F-0";"C22F-0";"C22F-0";"C22F-0"
"113";"C23C-0";"C23C-0";"C23C-0";"C23C-0";"C23C-0";"C23C-0";"C23C-0";"C23C-0";"C23C-0";"C23C-0";"C23C-0";"C23C-0";"C23C-0";"C23C-0";"C23C-0";"C23C-0";"C23C-0";"C23C-0";"C23C-0";"C23C-0";"C23C-0";"C23C-0";"C23C-0";"C23C-0";"C23C-0";"C23C-0";"C23C-0";"C23C-0";"C23C-0";"C23C-0";"C23C-0";"C23C-0";"C23C-0";"C23C-0";"C23C-0";"C23C-4";"C23C-0";"C23C-0";"C23C-4";"C23C-0";"C23C-0";"C23C-0";"C23C-0";"C23C-0";"C23C-0";"C23C-0";"C23C-0";"C23C-0";"C23C-0";"C23C-0";"C23C-0";"C23C-0";"C23C-0";"C23C-0";"C23C-0";"C23C-0";"C23C-0";"C23C-0";"C23C-0"
"114";"C25B-0";"C25B-0";"C25B-0";"C25B-0";"C25B-0";"C25B-0";"C25B-0";"C25B-0";"C25B-0";"C25B-0";"C25B-0";"C25B-0";"C25B-0";"C25B-0";"C25B-0";"C25B-0";"C25B-0";"C25B-0";"C25B-0";"C25B-0";"C25B-0";"C25B-0";"C25B-0";"C25B-0";"C25B-0";"C25B-0";"C25B-0";"C25B-0";"C25B-0";"C25B-0";"C25B-0";"C25B-0";"C25B-0";"C25B-0";"C25B-0";"C25B-0";"C25B-0";"C25B-0";"C25B-1";"C25B-0";"C25B-0";"C25B-0";"C25B-0";"C25B-0";"C25B-0";"C25B-0";"C25B-0";"C25B-0";"C25B-0";"C25B-0";"C25B-0";"C25B-0";"C25B-0";"C25B-0";"C25B-0";"C25B-0";"C25B-0";"C25B-0";"C25B-0"
"115";"C25D-0";"C25D-0";"C25D-0";"C25D-0";"C25D-0";"C25D-0";"C25D-0";"C25D-0";"C25D-0";"C25D-0";"C25D-0";"C25D-0";"C25D-0";"C25D-0";"C25D-0";"C25D-0";"C25D-0";"C25D-0";"C25D-0";"C25D-0";"C25D-0";"C25D-0";"C25D-0";"C25D-0";"C25D-0";"C25D-0";"C25D-0";"C25D-0";"C25D-0";"C25D-0";"C25D-0";"C25D-0";"C25D-0";"C25D-0";"C25D-0";"C25D-0";"C25D-0";"C25D-0";"C25D-0";"C25D-0";"C25D-0";"C25D-0";"C25D-0";"C25D-0";"C25D-0";"C25D-0";"C25D-0";"C25D-0";"C25D-0";"C25D-6";"C25D-0";"C25D-0";"C25D-0";"C25D-0";"C25D-0";"C25D-0";"C25D-0";"C25D-0";"C25D-0"
"116";"C30B-0";"C30B-0";"C30B-0";"C30B-0";"C30B-0";"C30B-0";"C30B-0";"C30B-0";"C30B-0";"C30B-0";"C30B-0";"C30B-0";"C30B-0";"C30B-0";"C30B-0";"C30B-0";"C30B-0";"C30B-0";"C30B-0";"C30B-0";"C30B-0";"C30B-0";"C30B-0";"C30B-0";"C30B-0";"C30B-0";"C30B-0";"C30B-0";"C30B-0";"C30B-0";"C30B-0";"C30B-0";"C30B-0";"C30B-0";"C30B-0";"C30B-0";"C30B-0";"C30B-0";"C30B-0";"C30B-0";"C30B-0";"C30B-0";"C30B-1";"C30B-3";"C30B-0";"C30B-0";"C30B-0";"C30B-0";"C30B-0";"C30B-0";"C30B-0";"C30B-0";"C30B-0";"C30B-0";"C30B-0";"C30B-0";"C30B-0";"C30B-0";"C30B-0"
"117";"C40B-0";"C40B-0";"C40B-0";"C40B-0";"C40B-0";"C40B-0";"C40B-0";"C40B-0";"C40B-0";"C40B-0";"C40B-0";"C40B-0";"C40B-0";"C40B-0";"C40B-0";"C40B-0";"C40B-0";"C40B-0";"C40B-0";"C40B-0";"C40B-0";"C40B-0";"C40B-0";"C40B-0";"C40B-0";"C40B-0";"C40B-0";"C40B-0";"C40B-0";"C40B-0";"C40B-0";"C40B-0";"C40B-0";"C40B-0";"C40B-0";"C40B-0";"C40B-0";"C40B-0";"C40B-3";"C40B-0";"C40B-0";"C40B-0";"C40B-0";"C40B-0";"C40B-0";"C40B-0";"C40B-0";"C40B-11";"C40B-0";"C40B-0";"C40B-0";"C40B-1";"C40B-0";"C40B-0";"C40B-5";"C40B-2";"C40B-4";"C40B-5";"C40B-0"
